线路,方向记录,站名,记录平台ID,记录距几何(m),建议平台名,建议平台ID,建议距几何(m),建议平台类型
从夜3路,从夜3路(从化汽车站总站--地铁东风站总站),西街口,BV11492267,114,西街市场,BV11480859,5,普通
佛276路/佛276,佛276路/佛276(干)路(罗冲围客运站--东方广场北门总站),金沙洲路,BV11688450,110,金沙洲路1,BV09369963,5,普通
夜122路,夜122路(永泰新村总站--白沙(中海金沙湾)总站),金沙洲路,BV11688450,110,金沙洲路1,BV09369963,5,普通
76路,76路(东山总站(东华北路)--百顺北路总站),集贤苑教师新村,BV11482216,109,集贤苑路口,BV10014208,5,普通
83路,83路(白云山制药厂总站--广汕路(科景路口)总站),元岗路,BV10016357,109,元岗横路(景晖苑),BV09017264,5,普通
从21路长线,从21路长线(地铁东风站--珠江学院(东北门)),西街口,BV11492267,108,西街市场,BV11480859,5,普通
从夜3路,从夜3路(地铁东风站总站--从化汽车站总站),西街口,BV11492267,108,西街市场,BV11480859,5,普通
656路,656路(龙归城总站--地铁嘉禾望岗站总站),集贤苑教师新村,BV11482216,105,集贤苑路口,BV10014208,5,普通
大学城专线3路,大学城专线3路(广东药学院总站--大学城总站(中部枢纽)),仑头村,BV10019621,171,仑头路口,BV10013857,6,普通
莞616路,莞616路(黄埔新港--富民路),华阳湖路口,BV10494263,170,华阳湖湿地公园,BV10266784,6,普通
夜107路,夜107路(石井(广东兵工厂旧址)站--白云路总站),解放南路站,BV11688454,105,解放南路2,BV09226091,6,普通
南沙70路,南沙70路(市桥汽车站--蕉门公交总站),汽车城地铁站,BV10016577,216,黄阁汽车城地铁站,BV10634722,7,普通
35路,35路(文德路总站--大学城科学中心总站),白云路,BV11688476,134,白云路东,BV11687926,7,普通
506路,506路(科韵路总站--永和总站),科学城路口,BV11467027,131,科学城(揽月路)总站,BV09199365,7,总站
569路,569路(萝岗香雪总站--沿河路总站),东晖路,BV10703778,171,东晖路(夏园农民公寓),BV09292564,8,普通
496路,496路(科韵路总站--科学城(揽月路)总站),科学城路口,BV11467027,131,科学城(揽月路)总站,BV09199365,8,总站
979路,979路(良田村委总站--马洞森林公园总站),钟落潭高校园,BV11166864,131,钟落潭(大钟),BV10435171,8,普通
