线路,方向记录,站名,记录平台ID,记录距几何(m),建议平台名,建议平台ID,建议距几何(m),建议平台类型
981路,981路(永泰新村总站--机场路总站),空港大道,BV11621666,122,空港大道中,BV10021250,8,普通
夜76路,夜76路(太和总站--罗冲围总站(松南路)),空港大道,BV11621666,122,空港大道中,BV10021250,8,普通
189路,189路(石榴岗总站--机场路总站),江海大道中,BV11687940,110,江海大道中总站,BV11365453,8,总站
206路,206路(新滘东路总站--滘口客运站总站),江海大道中站,BV11687940,110,江海大道中总站,BV11365453,8,总站
37路,37路(赤沙总站--东山口总站),江海大道中,BV11687940,110,江海大道中总站,BV11365453,8,总站
增城34路,增城34路(二汽石滩客运站--214站),仙村路口,BV11690284,144,仙村中学,BV10015380,9,普通
209路,209路(坦尾总站--广州火车东站总站),南方大厦,BV11688451,132,南方大厦站1,BV09192173,9,普通
996路,996路(水秀二路总站--水秀二路总站),增南路口,BV10018580,130,增南路,BV10638286,9,普通
增城3路,增城3路(百花山庄--职教园区公交站),荔城三中,BV10020763,126,荔城中学,BV10020795,9,普通
广283路班车,广283路班车(天河公交场总站--白沙总站),金沙洲路站,BV11688450,126,金沙洲路1,BV09369963,9,普通
广424路,广424路(白云文化广场总站--白沙总站),金沙洲路,BV11688450,126,金沙洲路1,BV09369963,9,普通
南沙4路,南沙4路(18:30后)(南沙资讯科技园站--蕉门公交总站),金洲地铁站,BV10015863,276,祈丰路(金洲地铁)站,BV11156027,10,普通
夜81路,夜81路(车陂总站--广汕路(科景路口)总站),科学城路口,BV11467027,136,科学大道(揽月路路口)站,BV10653043,11,普通
花109路,花109路(融创公交总站--胡忠儿童医院),花都广场,BV10016943,255,花都广场(区政府),BV11550145,12,普通
南夜4路,南夜4路(金洲地铁站--地铁广隆站),金岭南路站,BV10015855,206,金岭中路站,BV10015858,12,普通
夜4路,夜4路(恒福路总站--海珠客运站总站),白云宾馆,BV11009137,202,白云路总站,BV10016236,12,总站
番夜5路,番夜5路(广州南站总站--奥园广场总站),钻汇广场东门,BV09200219,176,钻汇广场西门,BV09200220,12,普通
268路,268路(白云花园总站--泮塘总站),远景路,BV11688397,118,远景路1,BV09168358,12,普通
58A路,58A路(唐阁村总站--解放北路总站(应元路口)),远景路,BV11688397,118,远景路1,BV09168358,12,普通
花15B路,花15B路(塱头村--飞鹅岭地铁口总站),四角围,BV09404948,179,四角围村站,BV11375026,13,普通
556路,556路(文化公园总站--石井总站),南方大厦,BV11688451,130,南方大厦站1,BV09192173,13,普通
夜26路,夜26路(文化公园总站--石井),南方大厦,BV11688451,130,南方大厦站1,BV09192173,13,普通
夜7路,夜7路(纸厂横马路总站--广州火车站总站),南方大厦,BV11688451,130,南方大厦站1,BV09192173,13,普通
南沙54路,南沙54路(滨海公园--雁洲村总站),黄阁大道中站,BV09026668,294,黄阁地铁站,BV10016402,14,普通
花5路,花5路(炭步总站--站前路公交总站),四角围,BV09404948,177,四角围村站,BV11375026,14,普通
56路,56路(天平架总站--光塔路总站),中山纪念堂,BV09404373,137,中山纪念堂(市总工会)3,BV09336519,14,普通
30路,30路(龙洞总站--东山广场总站),地铁植物园站,BV10855094,106,地铁长湴站,BV10408399,14,普通
793路,793路(龙归城总站--司法学校总站),鹤龙四路(龙兴西路口),BV09196447,147,鹤龙东路站,BV09314895,15,普通
979路,979路(马洞森林公园总站--良田村委总站),钟落潭高校园,BV11166864,120,钟落潭(大钟),BV10435171,15,普通
425路,425路(百顺北路总站--石井总站),联和2,BV09226063,109,联和1,BV11637999,15,普通
南53路,南53路(南沙儿童公园站--南沙湾总站),万达广场站,BV10381619,247,万达广场(双山大道)站,BV10962703,16,普通
39路,39路(龙洞总站--天河公交场总站),地铁植物园站,BV10855094,106,地铁长湴站,BV10408399,16,普通
夜10路,夜10路(龙洞总站--东山口总站),地铁植物园站,BV10855094,106,地铁长湴站,BV10408399,16,普通
264路,264路(仑头总站--广仁路总站),海印桥南,BV11688474,131,海印桥南1,BV09245639,17,普通
31路,31路(南石西(地铁棣园站)总站--解放北路总站(应元路口)),南方大厦,BV11688451,126,南方大厦站1,BV09192173,17,普通
38路,38路(文化公园总站--时代玫瑰园总站),南方大厦,BV11688451,126,南方大厦站1,BV09192173,17,普通
523路,523路(江高总站--广州白云站公交总站),联和2,BV09226063,112,联和1,BV11637999,17,普通
743路,743路(百顺北路(岭南新世界)总站--汇侨新城总站),联和2,BV09226063,112,联和1,BV11637999,17,普通
番96路,番96路(市桥汽车站--大石中学总站),钟村市场,BV11689053,168,钟村,BV10016700,18,普通
703路,703路(机场路总站--荔红路总站),平沙路口,BV09000463,154,平沙,BV11688453,18,普通
夜87路,夜87路(机场路总站--广州北站(秀全大道)),平沙路口,BV09000463,154,平沙,BV11688453,18,普通
54路,54路(中科院化学所总站--东华南路总站),白云路,BV11688476,134,白云路东,BV11687926,18,普通
226路,226路(大塘总站--恒宝广场总站),华贵路口,BV10016189,105,华贵路,BV09001149,18,普通
541路,541路(汇景新城东总站--恒宝广场总站),华贵路口,BV10016189,105,华贵路,BV09001149,18,普通
夜39路,夜39路(科韵路总站--恒宝广场总站),华贵路口,BV10016189,105,华贵路,BV09001149,18,普通
660路环线,660路环线(广外总站--广外总站),黄石东路(云城西路口)站,BV11688425,116,黄石东,BV11481129,19,普通
广424路,广424路(白云文化广场总站--白沙总站),黄石东路(云城西路口)站,BV11688425,116,云城西路,BV10021167,19,普通
706路,706路(广州北站(秀全大道)--东山广场总站),联和2,BV09226063,113,联和1,BV11637999,19,普通
448路,448路(奥林匹克体育中心总站--科林路总站),科学城路口,BV11467027,136,科学城南部公交场总站,BV10017787,22,总站
夜13路,夜13路(梅东路总站--天河儿童公园北门总站),锦城花园,BV11171452,206,锦城花园总站(东风东),BV10014572,23,总站
花都113路,花都113路(田美上庄--皮革城站),美国工业园,BV10015587,163,美国工业区,BV11655182,24,普通
B22路,B22路(五羊邨总站--广州科学城总站(长安村)),科学城路口,BV11467027,149,科学城彩频路总站,BV10017533,24,总站
367路,367路(火村东总站--中海誉城总站),开源大道,BV09067478,203,开源大道(云信路口),BV09065655,25,普通
397路,397路(萝岗香雪总站--丹水坑风景区总站),开源大道,BV09067478,202,开源大道(云信路口),BV09065655,25,普通
940路,940路(南岗万达广场总站--小塱总站),开创大道口,BV10884933,108,开创大道立交,BV10017344,28,普通
707路,707路(神山--人和总站),东镜市场站,BV11688085,254,东镜路口,BV10014234,30,普通
393路,393路(黄埔低空经济创新中心总站--连云路总站),开泰大道(开源路口),BV09237474,209,开泰大道(东明三路口),BV11466897,30,普通
495路,495路(琶洲塔公交总站--玉树新村总站),车陂南站,BV10014565,158,地铁车陂南站,BV10022500,34,普通
