线路,方向记录数,本地起讫,首班,末班,运营公司,状态分类,车来了起讫,备注
莞609路,2,东莞西站 ⇄ 新沙地铁站 / 新沙地铁站 ⇄ 东莞西站,,,东莞水乡新城公交客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
莞616路,2,富民路 ⇄ 黄埔新港 / 黄埔新港 ⇄ 富民路,,,东莞水乡新城公交客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
莞618路,2,东莞西站 ⇄ 黄埔新港站 / 黄埔新港站 ⇄ 东莞西站,,,东莞水乡新城公交客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
莞619路,1,城际麻涌站 ⇄ 城际麻涌站,,,东莞水乡新城公交客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
莞76路,2,唐洪枢纽站 ⇄ 二汽石滩客运站 / 石滩汽车站 ⇄ 唐洪枢纽站,,,东莞城巴客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
莞86路,2,东城体育公园停场 ⇄ 黄埔新港 / 黄埔新港站 ⇄ 东城体育公园停场,06:30,20:00,城巴运输,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
莞G7路,2,新塘站公交总站 ⇄ 汽车东站 / 汽车东站 ⇄ 新塘站公交总站,,,东莞城巴客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
广275路出场短线,1,花地大道(海南村)站 ⇄ 平洲总站,05:40,06:20,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
广281路,2,广卫路总站 ⇄ 绿地香树花城总站 / 绿地香树花园总站 ⇄ 广卫路总站,06:15,22:00,巴士集团,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
广州-肇庆,2,广州芳村汽车客运站 ⇄ 肇庆长途站 / 滘口地铁站 ⇄ 肇庆体育中心西门,07:05,20:10,肇庆公交公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
广州塔1号线,2,唯品会总部大厦 ⇄ 广州塔地铁站A口 / 广州塔地铁站A口站点 ⇄ 唯品会总部大厦,,,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
海龙便民巴士,1,龙溪地铁C出口 ⇄ 西浦联谊会,,,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
鹤龙2线,1,时代玫瑰园二期 ⇄ 时代玫瑰园二期,07:00,23:00,综合广州新穗巴士有限公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
鹤龙4线,1,黄边地铁站B口 ⇄ 彭西祠堂,,,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
花103路,2,广州工商学院 ⇄ 田美上庄 / 田美上庄 ⇄ 广州工商学院(花都),,,花都公汽,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
花105路,2,花都儿童公园总站 ⇄ 青少宫 / 花都区青少宫 ⇄ 花都儿童公园,07:30,19:00,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
花106路,2,站前路公交总站 ⇄ 邝家庄东 / 邝家庄东 ⇄ 站前路公交总站,07:00,18:30,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
花109路,1,融创公交总站 ⇄ 胡忠儿童医院,16:30,18:30,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
花10路,2,城东停车场总站 ⇄ 广州城市理工学院 / 广州城市理工学院 ⇄ 城东停车场总站,,,广州花都集团,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
花112路,2,毕村 ⇄ 荔红路总站 / 荔红路总站 ⇄ 毕村,07:20,18:20,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
花115路,2,站前路公交总站 ⇄ 赤坭 / 赤坭 ⇄ 站前路公交总站,07:00,19:00,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
花15B路,2,塱头村 ⇄ 飞鹅岭地铁口总站 / 飞鹅岭地铁总站 ⇄ 塱头村,,,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
花17路联民村,2,梯面联民村 ⇄ 站前路公交总站 / 站前路公交总站 ⇄ 梯面联民村,,,广州花都集团,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
花17路王子山班车,2,王子山公园总站 ⇄ 紫霞山庄 / 紫霞山庄 ⇄ 王子山公园总站,,,广州花都集团,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
花17路A,2,机场南13号门 ⇄ 民安村站2 / 民安村站2 ⇄ 机场南13号门,,,广州花都集团,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
花17路C,2,东方村总站 ⇄ 狮民村总站 / 狮民村总站 ⇄ 东方村总站,,,广州花都集团,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
花21路夜班,2,东莞村总站 ⇄ 和兴步行街 / 和兴步行街 ⇄ 东莞村总站,18:00,21:30,广州花都集团,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
花2B路,2,义山村总站 ⇄ 飞鹅岭地铁口 / 飞鹅岭地铁口 ⇄ 义山村总站,07:00,21:30,广州市花都公共汽车有限公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
花2C路,2,民航学院总站 ⇄ 飞鹅岭地铁总站 / 飞鹅岭地铁总站 ⇄ 民航学院总站,07:30,19:30,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
花68路白坭班车,2,兴仁汽车站 ⇄ 新雅街道办站 / 新雅街道办站 ⇄ 兴仁汽车站,,,广州公交集团(广州花都恒通客运公司),车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
花6路,2,广州北站西广场 ⇄ 融创公交总站 / 融创公交总站 ⇄ 广州北站西广场,,,广州花都集团,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
花75路,2,新雅街道办站 ⇄ 珠宝小镇总站 / 珠宝小镇总站 ⇄ 新雅街道办,06:30,20:00,花都恒通,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
花75A路,2,华师附中总站 ⇄ 新雅街道办 / 新雅街道办 ⇄ 华师附中总站,07:00,21:30,广州公交集团(广州花都恒通客运公司),车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
花76路,2,广州城市理工学院 ⇄ 新雅街道办 / 新雅街道办 ⇄ 广州城市理工学院,06:30,20:00,广州公交集团(广州花都恒通客运公司),车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
花89路,2,广清城际狮岭站 ⇄ 金碧御水山庄总站 / 金碧御水山庄总站 ⇄ 广清城际狮岭站,07:10,20:30,广州富都客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
花都111路,2,新雅街道办站 ⇄ 清塘地铁站 / 清塘地铁站 ⇄ 新雅街道办站,,,广州市花都公共汽车有限公司五车队,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
花都113路,2,田美上庄 ⇄ 皮革城站 / 皮革城站 ⇄ 田美上庄,08:00,17:30,广州市花都公共汽车有限公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
花都116路,2,永利路西 ⇄ 联乡路总站 / 联乡路总站 ⇄ 永利路西,07:30,19:00,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
机场快线7号C线,2,南沙K3路)(南沙蕉门公交总站 ⇄ 白云机场T1航站楼 / 南沙K3路)(白云机场T2航站楼 ⇄ 蕉门公交总站,,,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
机场快线7A线,1,番禺宾馆 ⇄ 白云机场T1航站楼,,,广州安迅保诚巴士客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
机场快线7B线,2,白云机场T2航站楼 ⇄ 祈福新邨 / 祈福新邨 ⇄ 白云机场T1航站楼,07:30,21:00,广州安迅保诚巴士客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
嘉禾望岗地铁站便民车3线,1,地铁嘉禾望岗站总站 ⇄ 地铁嘉禾望岗站总站,06:30,22:30,一汽巴士,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
节假日公交专线7路,2,天河客运站总站 ⇄ 穗丰村(兴太三路)总站 / 穗丰村(兴太三路)总站 ⇄ 天河客运站总站,,,广州第三巴士(广州第三客运公司),车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
金沙洲2号线,1,地铁浔峰岗站总站 ⇄ 地铁浔峰岗站总站,,,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
京溪2线,1,谷裕市场 ⇄ 京溪南方医院,07:00,22:00,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
九王庙临时接驳线内环,1,黄山鲁东门站 ⇄ 黄山鲁东门站,,,广州南沙客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
九王庙临时接驳线外环,1,黄山鲁东门站 ⇄ 黄山鲁东门站,,,南沙巴士客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
空港2路公交短线,1,华成路公园站 ⇄ 人和华成路公园站(总站),,,空港快线运输有限公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
空港快线2号线,1,经新市墟)(白云机场T2航站楼 ⇄ 华师大厦酒店,,,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
空港快线2号线夜班,1,白云机场T2西客运站 ⇄ 师大暨大站,,,广州白云国际机场客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
空港快线2线,1,白云机场T2航站楼 ⇄ 师大暨大,,,广州白云国际机场客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
空港快线3线,1,白云机场T2航站楼 ⇄ 珀丽酒店,,,广州白云国际机场客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
沥12B路,2,九龙涌公交场 ⇄ 芳村大道西站 / 芳村大道西站 ⇄ 九龙涌公交场,06:30,19:30,佛广公交集团,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
沥17B路,2,珑耀华府 ⇄ 芳村客运站 / 芳村客运站 ⇄ 珑耀华府,06:20,21:50,佛广公汽,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
沥17B路区间,2,盐步老龙公园 ⇄ 芳村客运站 / 芳村客运站 ⇄ 盐步老龙公园,07:00,18:00,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
联和街便民02环线,1,峰湖御境总站 ⇄ 峰湖御境总站,,,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
龙归3线,2,短线)(嘉梦工业园总站 ⇄ 龙归地铁站总站(B出口) / 短线)(龙归地铁站总站(B出口) ⇄ 嘉梦工业园总站,,,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
旅游专线1路,2,增城广场地铁总站 ⇄ 白水寨总站 / 白水寨总站 ⇄ 增城广场地铁总站,09:00,16:30,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
帽峰山旅游专线1线,2,太和地铁站A口 ⇄ 帽峰山森林公园 / 帽峰山森林公园 ⇄ 太和地铁站A口,,,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
南10路,1,新兴村委总站 ⇄ 地铁万顷沙站,07:00,21:00,广州巴士集团南沙巴士有限公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
南14路,2,横沥地铁站公交总站 ⇄ 香港科技大学(广州)站 / 香港科技大学(广州)站 ⇄ 横沥地铁站公交总站,,,广州巴士集团南沙巴士有限公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
南17路,2,地铁横沥站 ⇄ 新兴村站 / 新兴村站 ⇄ 地铁横沥站,07:00,19:00,广州巴士集团南沙巴士有限公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
南1路B,2,广州船坞总站 ⇄ 海力花园站 / 海力花园站 ⇄ 广州船坞总站,,,广州巴士集团南沙巴士有限公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
南21路,2,广州船坞总站 ⇄ 新垦总站 / 新垦总站 ⇄ 广州船坞总站,06:30,21:00,广州巴士集团南沙巴士有限公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
南22路,2,地铁东涌站 ⇄ 庆盛枢纽公交总站 / 庆盛枢纽公交总站 ⇄ 地铁东涌站,,,广州巴士集团南沙巴士有限公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
南25路,2,万顷沙公交总站 ⇄ 十九涌站 / 十九涌站 ⇄ 万顷沙公交站,06:00,22:00,广州巴士集团南沙巴士有限公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
南27路,2,广州南沙国际物流中心站 ⇄ 蕉门公交总站 / 蕉门公交总站 ⇄ 广州南沙国际物流中心,,,广州巴士集团南沙巴士有限公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
