线路,方向记录数,本地起讫,首班,末班,运营公司,状态分类,车来了起讫,备注
37路/南37路,2,东涌地铁站总站 ⇄ 东涌湖公交总站 / 东涌湖公交总站 ⇄ 东涌地铁站总站,07:00,20:00,创大公司,同名但站点差异大（疑似线路调整）,赤沙（广东财经大学）总站 ⇄ 东山口总站 / 东山口总站 ⇄ 赤沙（广东财经大学）总站,同名但站点差异大，疑似改线（待人工核对）
40路/南40路,2,大岗公交总站 ⇄ 新兴村委总站 / 新兴村委总站 ⇄ 大岗公交总站,06:00,18:00,广州南沙润信客运公司,同名但站点差异大（疑似线路调整）,东山（署前路）总站 ⇄ 广医附属中医院总站 / 广医附属中医院总站 ⇄ 东山（署前路）总站,同名但站点差异大，疑似改线（待人工核对）
从901路,2,从化汽车站总站 ⇄ 楼星村委 / 楼星村委 ⇄ 从化汽车站,07:30,16:00,广州从化客运公司,同名但站点差异大（疑似线路调整）,玲洲 ⇄ 楼星村委 / 楼星村委 ⇄ 玲洲,同名但站点差异大，疑似改线（待人工核对）
从902路,2,从化汽车站总站 ⇄ 横岭八队(横岭村委路口) / 横岭八队(横岭村委路口) ⇄ 从化汽车站总站,,,广州从化客运公司,同名但站点差异大（疑似线路调整）,民乐村委 ⇄ 横岭村八队（横岭村委路口） / 横岭村八队（横岭村委路口） ⇄ 民乐村委,同名但站点差异大，疑似改线（待人工核对）
从907路,2,沙迳村委 ⇄ 鳌头客运站 / 鳌头客运站 ⇄ 沙迳村委,,,公汽,同名但站点差异大（疑似线路调整）,鳌头公交总站 ⇄ 沙迳村委站 / 沙迳村委站 ⇄ 鳌头公交总站,同名但站点差异大，疑似改线（待人工核对）
从911路,2,下西村委 ⇄ 鳌头客运站 / 鳌头客运站 ⇄ 下西村委,,,,同名但站点差异大（疑似线路调整）,鳌头公交总站 ⇄ 下西村委 / 下西村委 ⇄ 鳌头公交总站,同名但站点差异大，疑似改线（待人工核对）
番155路,1,沙北村总站 ⇄ 沙北村总站,,,,同名但站点差异大（疑似线路调整）,沙北村总站 ⇄ 沙北村总站,同名但站点差异大，疑似改线（待人工核对）
番63路,1,化龙车站 ⇄ 化龙车站,,,广州第二巴士客运公司(广州第二客运公司番禺分公司),同名但站点差异大（疑似线路调整）,化龙车站 ⇄ 化龙车站,同名但站点差异大，疑似改线（待人工核对）
番92路/番92路,2,长线)旅游专线(市桥汽车站 ⇄ 莲花山车站 / 长线)旅游专线(莲花山车站 ⇄ 市桥汽车站,,,广州锦信客运公司,同名但站点差异大（疑似线路调整）,市桥汽车站总站 ⇄ 地铁石碁站 / 地铁石碁站 ⇄ 市桥汽车站总站,同名但站点差异大，疑似改线（待人工核对）
南沙K6路,2,蕉门公交总站 ⇄ 富民商务中心 / 富民商务中心 ⇄ 蕉门公交总站,05:30,20:30,广州巴士集团南沙巴士有限公司,同名但站点差异大（疑似线路调整）,蕉门公交总站 ⇄ 富民商务中心公交站（政务服务中心） / 富民商务中心公交站（政务服务中心） ⇄ 蕉门公交总站,同名但站点差异大，疑似改线（待人工核对）
增城16路,2,增城广场地铁总站 ⇄ 白水寨总站 / 白水寨总站 ⇄ 增城广场地铁总站,,,广州粤运客运公司,同名但站点差异大（疑似线路调整）,增城广场地铁总站 ⇄ 白水寨总站 / 白水寨总站 ⇄ 增城广场地铁总站,同名但站点差异大，疑似改线（待人工核对）
增城53路,2,花山村 ⇄ 西河村 / 西河村 ⇄ 花山村,07:30,16:10,广州二汽客运公司增城分公司,同名但站点差异大（疑似线路调整）,花山村 ⇄ 西河村 / 西河村 ⇄ 花山村,同名但站点差异大，疑似改线（待人工核对）
12A路环线,1,万科四季花城总站 ⇄ 万科四季花城总站,,,广州第一巴士客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
181路,2,坑口地铁站总站 ⇄ 景泰坑总站 / 景泰坑临时总站 ⇄ 坑口地铁站总站,,,巴士集团,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
18路,2,体育中心 ⇄ 赤沙总站 / 赤沙总站 ⇄ 体育中心,,,第一巴士,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
19路直达快线,2,广州城市理工学院 ⇄ 百寿南路 / 百寿南路 ⇄ 广州城市理工学院,,,广州花都集团,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
201路,2,先烈南路总站 ⇄ 犀牛角村总站 / 犀牛角村总站 ⇄ 先烈南路总站,,,广州巴士集团有限公司第二分公司一车队,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
209路,2,坦尾总站 ⇄ 广州火车东站总站 / 广州火车东站总站 ⇄ 坦尾总站,,,巴士集团,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
238路,2,康王路总站(上下九) ⇄ 石井潭村总站 / 石井潭村总站 ⇄ 康王路总站(上下九),,,广州第一巴士客运公司(广州新穗巴士客运公司),车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
257路,2,天河客运站总站 ⇄ 广州火车站总站 / 广州火车站总站 ⇄ 天河客运站总站,,,巴士集团,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
285路无轨电车短线,2,云台花园总站 ⇄ 江湾桥南 / 江湾桥南 ⇄ 云台花园总站,,,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
303A路,2,广州南站总站 ⇄ 琶洲塔公交总站 / 琶洲塔公交总站 ⇄ 广州南站总站,,,广州番广客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
307路/佛307路,2,榄核公交总站 ⇄ 科目二考场 / 科目二考场 ⇄ 榄核公交总站,06:30,22:00,佛山顺德顺汽客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
310路高峰短线,2,南浦岛总站 ⇄ 地铁大石站总站 / 地铁大石总站 ⇄ 南浦岛总站,,,广州公交集团(广州番广客运公司),车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
314路,2,宝墨园总站 ⇄ 顺德客运总站 / 顺德客运总站 ⇄ 番禺宝墨园,06:30,22:00,佛山顺德鸿运客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
328路支线,2,天鹅谷总站 ⇄ 萝岗中医院 / 萝岗中医院 ⇄ 天鹅谷总站,,,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
32路,2,华工大总站 ⇄ 黄石路总站 / 黄石路总站 ⇄ 华工大总站,,,广州公交集团一汽巴士客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
332路,1,长江路总站 ⇄ 长江路总站,,,巴士集团,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
333A路,2,天鹿湖老年人护理中心总站 ⇄ 联和总站(惠联路) / 联和总站(惠联路) ⇄ 天鹿湖老年人护理中心总站,,,广州第三巴士客运公司(广州珍宝(白马)巴士客运公司),车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
345A路,2,天河客运站总站 ⇄ 永和贤江总站 / 永和贤江总站 ⇄ 天河客运站总站,,,广州第三巴士客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
363路,2,广州火车东站总站 ⇄ 穗港码头总站 / 穗港码头总站 ⇄ 广州火车东站总站,06:30,20:00,广州第三巴士客运公司(广州珍宝(白马)巴士客运公司),车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
374路,2,湖山国际公交总站 ⇄ 黄埔体育中心总站 / 黄埔体育中心总站 ⇄ 湖山国际公交总站,07:00,21:00,广州第三巴士客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
390路,2,华坑生态村总站 ⇄ 科学城南部公交场总站 / 科学城南部公交场总站 ⇄ 华坑生态村总站,,,广州第三巴士(广州第三客运公司),车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
391A路,2,保利爱特城总站 ⇄ 开达路北总站 / 开达路北总站 ⇄ 保利爱特城总站,,,巴士集团,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
396A路环线,1,永和贤江总站 ⇄ 永和贤江总站,,,广州第三巴士客运公司;广州珍宝巴士客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
397路短线快线,2,丹水坑风景区总站 ⇄ 南岗站 / 南岗 ⇄ 丹水坑风景区总站,,,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
401路,1,员村同乐花园总站 ⇄ 员村同乐花园总站,07:00,21:30,广州公交集团一汽巴士客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
406路环线,1,穗园小区总站 ⇄ 穗园小区总站,,,广州公交集团一汽巴士客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
408A路,1,广医附属中医院总站 ⇄ 广医附属中医院总站,07:00,21:30,第一巴士,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
420路,1,悦云路口总站 ⇄ 悦云路口总站,06:30,23:00,广州第二巴士客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
423路环线,1,大冈村总站 ⇄ 大冈村总站,06:30,22:00,第二巴士,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
426路环线,1,汇侨路总站 ⇄ 汇侨路总站,06:40,22:15,广州第二巴士客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
429路循环线,1,金沙洲(涛乐街)总站 ⇄ 金沙洲(涛乐街)总站,,,广州第二巴士客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
42路,1,白沙总站 ⇄ 白沙(中海金沙湾)总站,,,广州公交集团一汽巴士客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
445路环线,1,健康港总站 ⇄ 健康港总站,,,巴士集团,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
448路,2,奥林匹克体育中心总站 ⇄ 科林路总站 / 科林路总站 ⇄ 奥林匹克体育中心总站,,,巴士集团,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
453路环线,1,鹿鸣山总站 ⇄ 鹿鸣山总站,,,巴士集团,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
453A路,1,沿河路总站 ⇄ 沿河路总站,,,巴士集团,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
454路环线,1,富力悦禧花园总站 ⇄ 富力悦禧花园总站,07:00,21:00,广州第一巴士客运公司(广州电车客运公司),车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
456路环线,1,九龙镇政府总站 ⇄ 九龙镇政府总站,07:00,21:00,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
459路,2,地铁大沙地站总站 ⇄ 火村东总站 / 火村东总站 ⇄ 地铁大沙地站总站,06:45,22:00,巴士集团,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
462路,2,侨诚花园总站 ⇄ 逸景西路总站 / 逸景西路总站 ⇄ 侨诚花园总站,,,第一巴士,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
463路,1,大塘西总站(敦和) ⇄ 大塘西总站(敦和),,,广州第一巴士客运公司(广州公交集团一汽巴士客运公司),车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
470路,1,机场路总站 ⇄ 机场路总站,,,广州第二巴士客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
471路,2,石湖镇东路总站 ⇄ 草庄村总站 / 草庄村总站 ⇄ 石湖镇东路总站,,,广州第二巴士客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
474路,2,江高总站(夏荷路) ⇄ 长岗村总站 / 长岗村总站 ⇄ 江高总站(夏荷路),06:30,21:30,广州第二巴士客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
481路环线,1,广州大学总站 ⇄ 广州大学总站,,,广州公交集团一汽巴士客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
484路西胜街循环线,1,西胜街总站 ⇄ 西胜街总站,,,广州第一巴士客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
527路机电班车,2,机电技工学校总站 ⇄ 石溪总站 / 石溪总站 ⇄ 机电技工学校总站,,,广州第二巴士客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
551路,2,广州火车东站总站 ⇄ 海珠客运站 / 海珠客运站总站 ⇄ 广州火车东站总站,06:30,22:30,广州第二巴士客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
579路,2,中海誉城总站 ⇄ 南岗万达广场总站 / 南岗万达广场总站 ⇄ 中海誉城总站,,,广州第一巴士客运公司(广州电车客运公司),车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
57路,2,二沙岛西总站 ⇄ 滘口客运站总站 / 滘口客运站总站 ⇄ 二沙岛西总站,,,广州公交集团一汽巴士客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
62路,2,兴民路总站 ⇄ 西湾路总站 / 西湾路总站 ⇄ 兴民路总站,,,广州第一巴士客运公司(广州公交集团一汽巴士客运公司),车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
651路,1,云城南二路总站 ⇄ 云城南二路总站,,,广州第二巴士客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
653路,1,地铁沙贝站总站 ⇄ 地铁沙贝站总站,,,广州第二巴士客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
655A线,2,三达路跨线桥首末站 ⇄ 大塘汽车客运站 / 大塘汽车客运站 ⇄ 三达路跨线桥首末站,,,佛山市公共交通管理有限公司三水分公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
655B路,2,三达路跨线桥首末站 ⇄ 鑫诺家具 / 鑫诺家具 ⇄ 三达路跨线桥首末站,,,佛山三水客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
656路,2,地铁嘉禾望岗站总站 ⇄ 龙归城(地铁夏良站)总站 / 龙归城总站 ⇄ 地铁嘉禾望岗站总站,,,广州第二巴士客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
658A路,1,金沙洲(涛乐街)总站 ⇄ 金沙洲(涛乐街)总站,,,广州第二巴士客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
658B路,1,金沙洲(涛乐街)总站 ⇄ 金沙洲(涛乐街)总站,,,广州第二巴士客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
660路环线,1,广外总站 ⇄ 广外总站,,,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
666路,1,黄边北路总站 ⇄ 黄边北路总站,06:00,22:00,广州第二巴士客运公司(广州溢通巴士客运公司),车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
667路,1,地铁江夏站总站 ⇄ 地铁江夏站总站,,,广州第二巴士客运公司(广州溢通巴士客运公司),车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
706路早间短线,1,雅神路口 ⇄ 东山广场总站,,,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
711路,2,嘉禾望岗总站 ⇄ 推广汽车总站 / 推广汽车站总站 ⇄ 嘉禾望岗总站,,,广州公交集团(广州花都恒通客运公司),车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
729路,1,地铁西村站总站 ⇄ 地铁西村站总站,,,巴士集团,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
731路环线,1,西湾路总站 ⇄ 西湾路总站,,,巴士集团,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
736路,2,石湖总站 ⇄ 地铁龙归站总站 / 龙归地铁站总站 ⇄ 石湖总站,07:00,21:30,广州第二巴士客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
752路,1,地铁飞翔公园站总站 ⇄ 地铁飞翔公园站总站,,,巴士集团,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
756路,2,唐阁南总站 ⇄ 嘉禾望岗总站 / 嘉禾望岗总站 ⇄ 唐阁南总站,,,巴士集团,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
759路环线,1,南悦花苑总站 ⇄ 南悦花苑总站,,,巴士集团,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
766路环线,1,沥滘路西总站 ⇄ 沥滘路西总站,06:30,22:00,广州第一巴士客运公司(广州电车客运公司),车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
786路,2,大塘西总站(敦和) ⇄ 江晓路口总站 / 江晓路口总站 ⇄ 大塘西总站(敦和),06:30,21:00,巴士集团,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
788路,2,万博中心总站 ⇄ 海珠客运站总站 / 海珠客运站总站 ⇄ 万博中心总站,06:30,21:00,广州公交集团一汽巴士客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
790路,2,后海村总站 ⇄ 星汇金沙二期总站 / 星汇金沙二期总站 ⇄ 后海村总站,,,广州第二巴士客运公司第二分公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
792路环线,1,南湖半岛花园总站 ⇄ 南湖半岛花园总站,,,广州第二巴士客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
792A路,1,沙太货运站总站 ⇄ 沙太货运站总站,,,广州第二巴士客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
801路,2,体育中心总站 ⇄ 大学城科学中心总站 / 大学城科学中心总站 ⇄ 体育中心总站,,,巴士集团,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
803路,2,广州火车站总站 ⇄ 永泰集贤路总站 / 永泰集贤路总站 ⇄ 广州火车站总站,,,广州第二巴士客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
825路,2,江高总站(大松岗) ⇄ 广州佐航花都雅瑶恒通汽车站总站 / 雅瑶公交总站 ⇄ 江高总站,,,广州第二巴士客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
839路,2,广州白云站公交总站 ⇄ 芳和花园总站 / 芳和花园总站 ⇄ 广州白云站公交总站,06:00,22:00,广州第三巴士客运公司(广州珍宝(白马)巴士客运公司),车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
884路,3,天健创意园总站 ⇄ 天健创意园总站 / 天健创意园总站 ⇄ 广州火车东站总站 / 广州火车东站总站 ⇄ 天健创意园总站,,,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
885路,1,白沙总站 ⇄ 白沙总站,06:15,22:00,广州第二巴士客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
960路,1,地铁沥滘站总站 ⇄ 地铁沥滘站总站,06:30,22:30,巴士集团,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
967路,1,怡乐路总站 ⇄ 怡乐路总站,,,巴士集团,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
980路环线,1,汇侨新城总站 ⇄ 汇侨新城总站,,,广州第二巴士客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
989路,1,太古仓路总站 ⇄ 太古仓路总站,07:00,21:00,广州第一巴士客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
991路,1,地铁沥滘站总站 ⇄ 地铁沥滘站总站,07:00,22:30,巴士集团,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
992路,1,地铁江泰路站总站 ⇄ 地铁江泰路站总站,07:00,21:00,巴士集团,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
997路,2,大学城总站 ⇄ 海珠客运站总站 / 海珠客运站总站 ⇄ 大学城总站,,,巴士集团,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
便民巴士4号线,2,黎园酒家 ⇄ 龙溪地铁C出口 / 龙溪地铁C出口 ⇄ 东石牌坊,,,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
从19路密石班车,2,从化汽车站总站 ⇄ 密石村委总站 / 密石村委总站 ⇄ 从化汽车站总站,08:45,08:45,广州从化客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
从1路东线,2,凤凰村委总站 ⇄ 南医大五附院 / 南医大五附院 ⇄ 凤凰村委总站,07:00,20:30,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
从1路西线,2,从化汽车站 ⇄ 明珠大道北(健朗医用) / 明珠大道北(健朗医用) ⇄ 从化汽车站,06:15,18:15,公汽,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
从21路长线,2,地铁东风站 ⇄ 珠江学院(东北门) / 珠江学院(东北门) ⇄ 地铁东风站,06:00,21:20,广州顺途客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
从3路夜班,2,从化汽车站总站 ⇄ 从化职校 / 从化职校 ⇄ 从化汽车站总站,20:45,22:00,广州顺途客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
从5路长线,2,图书馆总站 ⇄ 广东工贸职业技术学院站 / 广东工贸职业技术学院 ⇄ 图书馆总站,,,顺途公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
从6路支线,2,从化汽车站总站 ⇄ 田心围 / 田心围 ⇄ 从化汽车站总站,,,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
从702路,2,中大南方学院总站 ⇄ 乌石村 / 乌石村 ⇄ 中大南方学院总站,,,中旅,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
从801路,1,地铁太平站 ⇄ 地铁太平站,07:30,19:00,广州顺途客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
从化13路,2,保利时代)(从化汽车站总站 ⇄ 白水寨总站 / 保利时代)(白水寨总站 ⇄ 从化汽车站总站,,,广州公交,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
从化921路,2,地铁东风站 ⇄ 花林湖畔总站 / 花林湖畔总站 ⇄ 地铁东风站,,,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
从化922路,2,地铁东风站 ⇄ 民乐村委总站 / 民乐村委总站 ⇄ 地铁东风站,,,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
大学城班线4,1,集贤苑教师新村总站 ⇄ 大学城(广大)总站,,,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
大学城专线1路,2,大学城广大总站 ⇄ 广外总站 / 广外总站 ⇄ 大学城广大总站,,,巴士集团,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
大学城专线2路,2,华工大总站 ⇄ 大学城广中医总站 / 大学城广中医总站 ⇄ 华工大总站,,,巴士集团,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
大学城专线3路,2,大学城中部枢纽总站 ⇄ 广东药学院总站 / 广东药学院总站 ⇄ 大学城总站(中部枢纽),,,巴士集团,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
大学城专线4路,2,大学城广大总站 ⇄ 天平架总站 / 天平架总站 ⇄ 大学城(广大)总站,07:00,22:00,巴士集团,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
地铁接驳10A线,2,奥园城市天地总站 ⇄ 雄峰商城总站 / 雄峰商城总站 ⇄ 奥园城市天地总站,,,广州第二巴士客运公司(广州番广客运公司),车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
番109B路,2,奥园城市天地总站 ⇄ 宜家家居 / 宜家家居 ⇄ 奥园城市天地总站,,,广州锦信客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
番125路高峰直达短线,2,地铁汉溪长隆D站 ⇄ 碧桂东苑 / 碧桂东苑 ⇄ 地铁汉溪长隆A站,,,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
番133路高峰短线,2,地铁新造站 ⇄ 山海连城 / 山海连城 ⇄ 地铁新造站,,,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
番141路,2,市桥汽车站 ⇄ 江南路站 / 江南路站 ⇄ 市桥汽车站,,,广州第一巴士客运公司(广州创大汽车客运公司),车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
番162B路高峰快线,2,地铁海傍站总站 ⇄ 广铁一中天峰中学站 / 广铁一中天峰中学 ⇄ 亚运城天荟临时站,,,,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
番163B路,2,奥园城市天地总站 ⇄ 广地花园站 / 广地花园站 ⇄ 奥园城市天地总站,,,创大巴士,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
番17路长线,2,南村中学 ⇄ 洛溪南浦总站 / 洛溪南浦总站 ⇄ 南村中学,,,番禺公汽,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
