physicalStId,涉及合并站,BV站点ID,车来了站名,BV站数,说明
5e113ede769845f6bb6db2f4458c865d,横枝岗总 / 横枝岗#1,BV10389127 / BV09091397,横枝岗,2,总站与非总站混合，不自动合并
f279b10735f346c9b74059d16f447e19,石榴岗总#1 / 台涌,BV10756309 / BV11689398,石榴岗（海珠行政服务中心）总站 / 台涌,2,总站与非总站混合，不自动合并
2306772edfa64a3395b578192e641e1e,柯子岭总 / 柯子岭,BV09370170 / BV11688535,柯子岭,2,总站与非总站混合，不自动合并
5193180f9c3e4d8ab1e9038fd689e772,海珠广场(侨光西) / 海珠广场总站(侨光西),BV11261928 / BV11206247,海珠广场（侨光西）②,2,总站与非总站混合，不自动合并
1263ed6acbec42268e6087b08d68ee89,水荫路 / 水荫路总,BV10016135 / BV10021738,水荫路,2,总站与非总站混合，不自动合并
af954c8d2bad407b87d4fdb979e82ebe,芳村大道西 / 桥东小区总,BV11688499 / BV10022284,芳村大道西1 / 桥东小区总站,2,总站与非总站混合，不自动合并
eca52fd1ff894ab7b2308e8873b411eb,沥滘 / 沥滘总,BV11688783 / BV10016721,沥滘,2,总站与非总站混合，不自动合并
2c24e9c0466344f090898399585fb2aa,金贵村 / 云台花园总,BV11688390 / BV10014637,金贵村② / 云台花园总站,2,总站与非总站混合，不自动合并
dc8ad6fcdf1e410295e23e47d2b12479,裕海路 / 裕海路总,BV10017979 / BV11265333,裕海路 / 裕海路总站,2,总站与非总站混合，不自动合并
e26967673d884b0ab76ec28495de1f84,裕海路 / 裕海路总,BV10017979 / BV11265333,裕海路 / 裕海路总站,2,总站与非总站混合，不自动合并
31c77d174d4a4874a77562b0e8d0bc59,华工大 / 华工大总,BV11485000 / BV10017909,华工大,2,总站与非总站混合，不自动合并
eb9c05b91013404884df3043de51ed5a,南岗 / 南岗总,BV11687851 / BV10017343,南岗,2,总站与非总站混合，不自动合并
b46305cd52594827a1942a9138c26352,南岗 / 南岗总,BV11687851 / BV10017343,南岗,2,总站与非总站混合，不自动合并
33662e22f4554572b01b79c8fda19b58,员村#1 / 员村总#2,BV09242192 / BV10389050,员村②,2,总站与非总站混合，不自动合并
682ce6887dde4a3a8bc4ed6fc8166745,夏茅 / 夏茅总#2,BV11688462 / BV10019542,夏茅,2,总站与非总站混合，不自动合并
1b943ef7b8a54c3783ee1b3e3fe6f854,江南西路 / 江南西路总,BV10017764 / BV10015253,江南西路 / 江南西路总站,2,总站与非总站混合，不自动合并
