physicalStId,涉及合并站,BV站点ID,车来了站名,BV站数
fd9a4b5b21b44aea8791b43c2ce949df,南湾总 / 南湾,BV11472711 / BV11386229 / BV10014603,南湾总站 / BRT南湾1 / 南湾,3
cebfe88e84814e249e558e52688626fe,永和大道(斗塘路口) / 永和大道(常春藤)总 / 永和大道(常春藤),BV09193688 / BV09387963 / BV09003166,永和大道（斗塘路口）,3
be7be1e40488478e84f7e0c0802c3006,江高(大松岗)总 / 江高(大松岗) / 江高总站(大松岗),BV11267411 / BV09112239 / BV11127777,江高（大松岗）总站 / 江高（大松岗）,3
34a8ce70d4e2464a9c410a7e4f801dcd,鹤龙四路(龙兴西路口) / 鹤龙四路(龙兴西路口)1站(原行知学院站),BV09226081 / BV09244070 / BV09196447,鹤龙四路（龙兴西路口）② / 鹤龙四路（龙兴西路口）,3
ba7e9ea4c52a46db95f2e0f960561298,人和墟(万家福广场) / 人和墟总,BV11689355 / BV09212864 / BV10014381,人和墟②,3
348d8224b60b4a2aa7f74dd0f936f9e2,站前路总 / 站前路(西郊大厦)总 / 站前路#1,BV11421155 / BV11673137 / BV09354794,站前路（西郊大厦）总站,3
935fc586d9ff477098f86ee5ff354cc8,石井(广东兵工厂旧址)#2 / 石井总#3 / 石井#2,BV09368724 / BV10381320 / BV11481130,石井（庆丰纺织服装城）总站,3
a343428b95a84544b3771b1f8dd8652d,飞粤大道中(九一村东) / 飞粤大道中(九一村西),BV09120470 / BV11682467 / BV11371156,飞粤大道中,3
13943b25ed434c029ba20a6df0abacea,新和 / 新和地铁 / 地铁新和站总,BV11388333 / BV11623812 / BV10971863,新和 / 新和地铁站 / 地铁新和站总站,3
BE09AE5C937B498C85BE084C95FBE64C,体育中心总 / 体育中心,BV10018645 / BV09337037 / BV11420870,体育中心②,3
fa6a53f34deb4aef80893215ff6b7545,良口公交总 / 良口墟 / 良口墟总,BV09361692 / BV10808751 / BV11491341,良口公交总站 / 良口墟 / 良口墟总站,3
1e606eda468e4c3c809afaa872ff26fc,龙星村#1 / 龙星村#2,BV11352898 / BV11352903 / BV11352902,龙星村①,3
9bd4f23d642f4e03996eef409408d6f1,蕉门地铁 / 蕉门地铁(区政府) / 蕉门公交总,BV10014705 / BV09078572 / BV10525622,蕉门地铁站（区政府） / 蕉门地铁（区政府）站 / 蕉门公交总站,3
f6a4ce7f43d64967b8852dc12845815a,万科海上明月 / 万科海上明月总,BV11443817 / BV09010681 / BV11625830,万科海上明月站①,3
bbc0b2f94cea427a8a54a33062e228b8,虎门渡口总 / 虎门渡口(上湾小区) / 虎门渡口,BV09099103 / BV09271070 / BV09305393,虎门渡口（上湾小区）,3
06d3a47f84d648179deb31eef0e30403,区政府东门 / 区政府东门(永旺梦乐城) / 区政府东门总,BV09293280 / BV09305549 / BV10632191,区政府东门（永旺梦乐城）,3
f1e121f49fb34b249bf1b6a677b189de,城西花园总 / 城西花园,BV10014504 / BV09244061 / BV11688445,城西花园总站 / 城西花园总站②,3
fa0c92c191cb41c193be65ec8e3d0084,白沙总 / 白沙(中海金沙湾)总 / 白沙总站(中海金沙湾),BV11585800 / BV11341395 / BV10572835,白沙（中海金沙湾）总站,3
ffd81814ff374294a2672c40633722ca,白沙 / 白沙总 / 白沙总站(中海金沙湾),BV11457906 / BV11585800 / BV10572835,白沙（中海金沙湾）,3
08d7a2cca47047889ac4f73b7778af1a,白沙 / 白沙总站(中海金沙湾) / 白沙(中海金沙湾)总,BV11457906 / BV10572835 / BV11341395,白沙（中海金沙湾）,3
c8a2cf9db6ca400b91b5e7eddd91f768,南泰路西 / 珠江医院总,BV10021619 / BV10021721,南泰路西 / 珠江医院总站1,2
af15636f88034aeba95584d93ba06406,珠江广场 / 滨江东路总,BV09241994 / BV10016328,珠江广场② / 滨江东路总站,2
e3fe573c071643fabcde4a4db3b707fc,珠江广场 / 滨江东路总,BV09241994 / BV10016328,珠江广场 / 滨江东路总站,2
cee0ef788bd5483a8a2f25b8efdba88a,金宇花园 / 金宇花园总,BV11688515 / BV10013810,金宇花园 / 金宇花园总站,2
c189074fa8c144d39d2c745d61fc5490,广州大桥北(五羊邨) / 广州大桥北站(五羊邨),BV09005177 / BV11474544,广州大桥北（五羊邨）①,2
14a91cd2c38a4b129ca8259e2fda4c81,广州大桥北(五羊邨) / 广州大桥北站(五羊邨),BV09005177 / BV11474544,广州大桥北（五羊邨）③,2
592d08bf0d964cdebbe98306156f2020,云苑新村总 / 云苑新村,BV10018323 / BV10018325,云苑新村总站 / 云苑新村,2
9e3181e8c0e1497a879d841eccb85df4,京溪路 / 一五七医院,BV11506953 / BV11269468,京溪路 / 一五七医院（地铁京溪南方医院站）,2
9f611791100f4c91a521e3bcae2e5c04,云景花园 / 京溪路,BV11688407 / BV11506953,云景花园 / 京溪路,2
d6f2aacf7aa04bd58d9800e5df5dfdf2,白云山制药厂(后山宿舍) / 白云山制药厂总,BV10016352 / BV10014380,白云山制药厂,2
9b3489cea4a4458b8b49c787481eaa71,石井(广东兵工厂旧址)#1 / 石井#1,BV09368725 / BV09368284,石井（广东兵工厂旧址）,2
c761159bb47348d2ba849b49c976c745,珠岛花园 / 珠岛花园总,BV10803702 / BV10016165,珠岛花园,2
674763cdb09041e1991320eed2d0eb28,晓港湾 / 晓港湾总,BV11688514 / BV10018550,晓港湾,2
9a732c2f62304c0997b04e6cca0ebf93,锦城花园(东风东)总 / 锦城花园,BV11620748 / BV10014572,锦城花园（东风东）总站,2
e361197476e94f2987f9d4872c4dd6a4,东山口站(东华北路) / 东山口(东华北路),BV10693291 / BV11448834,东山口（东华北路） / 东山口（东华北路）②,2
0eeb15891ca0412eba01bb05f8c91b76,晓港湾 / 晓港湾总,BV11688514 / BV10018550,晓港湾,2
c27ced6eadf346ed983520d05fdf50f4,广州大桥北站(五羊邨) / 广州大桥北(五羊邨),BV11474544 / BV09005177,广州大桥北（五羊邨）②,2
a1ceba7c33834537aed9db6c9bb66e6e,大江苑 / 大江苑总,BV10021299 / BV10323128,大江苑 / 大江苑总站,2
0f70f47a00114b57be18aa74a384dd15,广州大道中#1 / 广州大道中#2,BV11687847 / BV10014367,广州大道中③,2
9f1d1ef5703e4325b18664549f409cb0,中山八路总 / 中山八路,BV10014194 / BV11688465,中山八路总站,2
28878a1d9e754a88b1bdb520fcbc8993,员村#1 / 员村总#2,BV09242192 / BV10389050,员村① / 员村,2
07b65d73cdd7428bab3a05300feacf8a,琶洲大桥北 / 琶洲大桥北总,BV11688358 / BV10580172,琶洲大桥北,2
dcfa50818554423d967ba151e9bc0cba,万胜围 / 万胜围总,BV10420826 / BV11011363,万胜围,2
731cd7340fe14622a09df043c7eda447,琶洲大桥北 / 琶洲大桥北总,BV11688358 / BV10580172,琶洲大桥北,2
50258e8483f246aca2c6ac72c9207230,花城大道(华穗路口)#1 / 花城大道(华穗路口)#2,BV11462417 / BV11474543,花城大道,2
17afd62ba16f4a33ab746dd58cff78c5,赤沙总 / 赤沙(广东财经大学)总,BV10015733 / BV11554062,赤沙（广东财经大学）总站,2
c76337f0e1344b08820dcdfcddb0e875,汾水小区总 / 汾水小区,BV10018714 / BV09405895,汾水小区总站 / 汾水小区,2
6ae8022af38f44db93c40153e1286746,同德围总#1 / 同德围,BV10387326 / BV09355217,同德围,2
ecdb53545bed40c8b5f3c41d5cbc2d47,岗贝路 / 岗贝路总,BV10019052 / BV10018301,岗贝路 / 岗贝路总站,2
5bed88cac25e43d19080d508ba233ab6,地铁白云公园 / 地铁白云公园站总,BV10022459 / BV11568890,地铁白云公园站 / 地铁白云公园站总站,2
1ceec2e777f44c8c8eb6766742e81726,同德围 / 同德围总#1,BV09355217 / BV10387326,同德围,2
7bc666e65a554b7abac3a7a7a47a8f8f,广州火车站总 / 广州火车站(草暖公园)总,BV10014059 / BV09330045,广州火车站（草暖公园）总站,2
fa865f16eacd4bb5bd0ce014b9328768,濂泉路口 / 金贵村,BV11688393 / BV11688390,濂泉路口① / 金贵村,2
7311b37fc1ed4aa9a9754848bfb4c76c,兴华路口 / 豪景花园,BV10017237 / BV09097374,兴华路口2 / 豪景花园,2
9e8fb4afff91439abc69d5768bb08dc7,伍仙桥 / 兴华路口,BV10014371 / BV10017237,伍仙桥1 / 兴华路口,2
9666c2b104c345ee8efec4a45d12352c,鸡颈坑 / 伍仙桥,BV10014372 / BV10014371,鸡颈坑 / 伍仙桥,2
2b09a7fc61874d12a16067990d30b5c1,梅园新村 / 鸡颈坑,BV10017236 / BV10014372,梅园新村（地铁梅花园站）② / 鸡颈坑,2
82e446c565684f279557a2c5dec40848,梅花园 / 梅园新村,BV09355216 / BV10017236,梅花园② / 梅园新村（地铁梅花园站）,2
22e8ff9a4bb34a45800653c4345c6b3f,一五七医院 / 梅花园,BV11269468 / BV09355216,一五七医院（地铁京溪南方医院站） / 梅花园,2
840a3c59bbf34c24b91a975b87683303,南洲路总站(小洲南路口) / 南洲路,BV09243517 / BV10791667,南洲路（盛景家园）,2
6a9a46e807524307969cad8f6546ec86,解放北路总站(应元路口) / 解放北路(应元路口),BV10387132 / BV11663428,解放北路（应元路口）总站 / 解放北路（应元路口）,2
8003664568c4436ab1f115fe5488d988,南洲路总站(小洲南路口) / 南洲路(小洲南路口)总,BV09243517 / BV09244066,南洲路（小洲南路口）总站,2
1e655080df20482aa70bddb549686bec,横枝岗#1 / 横枝岗总,BV09091397 / BV10389127,横枝岗,2
5e113ede769845f6bb6db2f4458c865d,横枝岗总 / 横枝岗#1,BV10389127 / BV09091397,横枝岗,2
f279b10735f346c9b74059d16f447e19,石榴岗总#1 / 台涌,BV10756309 / BV11689398,石榴岗（海珠行政服务中心）总站 / 台涌,2
2306772edfa64a3395b578192e641e1e,柯子岭总 / 柯子岭,BV09370170 / BV11688535,柯子岭,2
5193180f9c3e4d8ab1e9038fd689e772,海珠广场(侨光西) / 海珠广场总站(侨光西),BV11261928 / BV11206247,海珠广场（侨光西）②,2
1263ed6acbec42268e6087b08d68ee89,水荫路 / 水荫路总,BV10016135 / BV10021738,水荫路,2
af954c8d2bad407b87d4fdb979e82ebe,芳村大道西 / 桥东小区总,BV11688499 / BV10022284,芳村大道西1 / 桥东小区总站,2
a7ddb75ef7f84164bc1567f5aef8e7b0,华景新城(翰景路)总 / 华景新城总站(翰景路),BV11578887 / BV11107113,华景新城（翰景路）总站,2
ca14a3440091441fbc0e8e70f4e9fc84,花城大道(华穗路口)#1 / 花城大道(华穗路口)#2,BV11462417 / BV11474543,花城大道,2
76e2411356f449ee9ef98b75b0daa166,广州大桥北(五羊邨) / 广州大桥北站(五羊邨),BV09005177 / BV11474544,广州大桥北（五羊邨）①,2
84e0d4c4686d409d99a0e97796f896c5,广州大桥北(五羊邨) / 广州大桥北站(五羊邨),BV09005177 / BV11474544,广州大桥北（五羊邨）3,2
eca52fd1ff894ab7b2308e8873b411eb,沥滘 / 沥滘总,BV11688783 / BV10016721,沥滘,2
2c24e9c0466344f090898399585fb2aa,金贵村 / 云台花园总,BV11688390 / BV10014637,金贵村② / 云台花园总站,2
3c75974e57e64d2bafd7e64518d81ca9,东山总站(署前路) / 东山(署前路)总,BV10021758 / BV09347831,东山（署前路）总站,2
dc8ad6fcdf1e410295e23e47d2b12479,裕海路 / 裕海路总,BV10017979 / BV11265333,裕海路 / 裕海路总站,2
e26967673d884b0ab76ec28495de1f84,裕海路 / 裕海路总,BV10017979 / BV11265333,裕海路 / 裕海路总站,2
31c77d174d4a4874a77562b0e8d0bc59,华工大 / 华工大总,BV11485000 / BV10017909,华工大,2
eb9c05b91013404884df3043de51ed5a,南岗 / 南岗总,BV11687851 / BV10017343,南岗,2
b46305cd52594827a1942a9138c26352,南岗 / 南岗总,BV11687851 / BV10017343,南岗,2
bdfa0baefe5e49088a3f984e88102894,东山龟岗(中共三大会址)总 / 东山龟岗总,BV10416004 / BV11625413,东山龟岗（中共三大会址）总站,2
33662e22f4554572b01b79c8fda19b58,员村#1 / 员村总#2,BV09242192 / BV10389050,员村②,2
682ce6887dde4a3a8bc4ed6fc8166745,夏茅 / 夏茅总#2,BV11688462 / BV10019542,夏茅,2
1b943ef7b8a54c3783ee1b3e3fe6f854,江南西路 / 江南西路总,BV10017764 / BV10015253,江南西路 / 江南西路总站,2
c79cc80501654df0bd251024556f598b,纸厂 / 纸厂总,BV09347832 / BV10021944,纸厂（地铁燕岗站）,2
1f2b08cb29764572b75af34750a2800f,沥滘总 / 沥滘,BV10016721 / BV11688783,沥滘总站,2
cd6f3ba1b23744a19f2e5bd68e58667a,东山口(东华北路) / 东山口(中山大学附属第一医院),BV11309872 / BV09369428,东山口1 / 东山口①,2
a09fb42b73534901947c14631d2b5cc9,罗冲围总站(松南路) / 罗冲围(松南)总,BV10016552 / BV09400280,罗冲围（松南路）总站,2
5772700722f2481faa769fc07d927ec9,纸厂 / 纸厂总,BV09347832 / BV10021944,纸厂（地铁燕岗站）②,2
c6753c2abb3e40eda83eea12525f2f15,纸厂横马路 / 纸厂横马路总,BV11671145 / BV10021807,纸厂横马路,2
2b752d20ed3b4f4fa40053e9cfeef6c8,南洲北路 / 南洲北路总,BV10014357 / BV10019120,南洲北路,2
42d86d9d807b4329b4e81e32d4fc2e5d,南洲北路 / 南洲北路总,BV10014357 / BV10019120,南洲北路 / 南洲北路总站,2
a3b571c260ba43beaa922e4ff666c2ac,光大花园 / 革新路总,BV10015261 / BV10014587,光大花园 / 革新路总站,2
437d3c2993f84970bbd68aaca29294a6,黄石东(白云尚城)总 / 黄石东总,BV10832133 / BV10013663,黄石东（白云尚城）总站,2
7d377d89c34546ca9363213e7585850d,黄石东(白云尚城)总 / 黄石东总,BV10832133 / BV10013663,黄石东（白云尚城）总站,2
196f299edee14992b0ec3e6de5b9fbe6,员村一横路 / 员村一横路总,BV10022311 / BV10013630,员村一横路,2
df0c94ecf3864b25be8fae0f6eb528fb,京溪路口 / 云景花园,BV10019227 / BV11688407,京溪路口 / 云景花园,2
aabf698f67844e69b55c57555e8a0470,南方医科大学 / 京溪路口,BV10013965 / BV10019227,南方医科大学 / 京溪路口,2
b2cf2d8fe24e48bba548bb363752f988,白云农批市场 / 南方医科大学,BV10013964 / BV10013965,白云农批市场 / 南方医科大学,2
4dfd2a0855e74b3a8376f0d552f90859,茶山庄 / 沙太路北总,BV10019236 / BV10022667,茶山庄 / 沙太路北总站,2
3130bd070f20428187555871c835450b,七星岗总 / 七星岗#1,BV10019657 / BV10021829,七星岗,2
248b395c605948d9946db8ab722cb06e,站南路 / 站南路总,BV10014073 / BV09012353,站南路② / 站南路总站,2
4a10bc2a383147209c6bd0919380f6ce,七星岗#1 / 七星岗总,BV10021829 / BV10019657,七星岗,2
6580280403df4d369e5a2c48aef2f450,小洲村口 / 小洲村口总,BV10018555 / BV11471863,小洲村口 / 小洲村口总站,2
cdd12eba5844493e8d86d92fd1443e60,小洲 / 小洲总,BV11689633 / BV10022287,小洲 / 小洲总站,2
dd803194d51b4bc78f0af163978f616d,广州大道中#2 / 广州大道中#1,BV10014367 / BV09382002,广州大道中①,2
bce381eb41fb432e8e75ea291c76d9e8,土华 / 土华总,BV10018239 / BV10021864,土华,2
64b44aa92b0a4fa7ad065b0a9677edff,小洲村口 / 小洲村口总,BV10018555 / BV11471863,小洲村口 / 小洲村口总站,2
0c6e783a8b3241af9117f425e5bdc4fe,瀛洲生态公园 / 瀛洲生态公园总,BV09273926 / BV10022466,瀛洲生态公园,2
1e3d15e4b5a045b181f66a8c428e1178,江南大道南(地铁江泰路站) / 江南大道南总,BV09364559 / BV10016121,江南大道南（地铁江泰路站） / 江南大道南（地铁江泰路站）总站,2
5a19c692148e4a1faf237568e862e12b,鱼珠码头 / 鱼珠码头总,BV11361606 / BV10018096,鱼珠码头,2
94626643de514202af8d0ae4ea0a1f30,盈丰路总 / 盈丰路,BV10017134 / BV11370357,盈丰路总站 / 盈丰路,2
2d388cfaf1e242f79ca4e0173e56ae1c,北山村(新滘东路) / 北山村总站(新滘东路),BV11475052 / BV10022387,北山村（新滘东路） / 北山村（新滘东路）总站,2
955a52cf8cc34c0d905bd9c4d9b28e98,珠江泳场 / 珠江泳场总,BV09006391 / BV10021858,珠江泳场（海印公园）总站,2
51bc13db2bc944f3973e16bcd42745bb,泮塘总 / 泮塘,BV10021910 / BV10022283,泮塘总站,2
f7fc14cfd14149f1a1b9f0812f3c95ee,土华总 / 土华路西,BV10021864 / BV11488927,土华总站 / 土华路西,2
15be22876e5a4931a8b12caec6c1cfd0,石井大道(红星村) / 石井大道(白云湖公园)#1,BV10020202 / BV10013689,石井大道（红星村）,2
effdaad90564473a8c699f794107c6f4,滘心路口 / 石井总站(滘心村),BV11601155 / BV10817722,滘心路口 / 石井（滘心村）总站,2
e22fb2d9f1f94570b5cdde3fdb315b3b,晓港湾总 / 晓港湾,BV10018550 / BV11688514,晓港湾总站,2
45effedba63f4f498ee2815fdba30ecc,富力桃园(增埗村)总 / 富力桃园总站(增埗村),BV11044096 / BV11639167,富力桃园（增埗村）总站,2
b6d07d51c8c2442eb8db6006321de463,临江大道(员村二横路口) / 员村总#2,BV10021902 / BV10389050,临江大道（员村二横路口） / 员村（绢麻厂）总站,2
86a39655f35e45a1888b192af878988e,兴华路 / 天平架总,BV09164364 / BV10015233,兴华路（地铁天平架站） / 天平架总站,2
838a8f13f4f048f7ac7a2381d3ada60c,夏茅 / 夏茅总#2,BV11688462 / BV10019542,夏茅,2
462ea0f7357c4e429faeb64ea1980631,左边村 / 大罗塘珠宝小镇,BV11457001 / BV10019837,左边村（珠宝名镇） / 大罗塘珠宝小镇,2
216d438ff02d423b84d0c33ecc517b8d,节能科技园 / 节能科技园总,BV10014702 / BV10386996,节能科技园,2
4031e4ca7a07430bb47cbf81f938e168,长隆旅游度假区总 / 香江野生动物世界总,BV10021917 / BV10022292,长隆旅游度假区总站 / 香江野生动物世界总站,2
4e3b46b3847b4a91acf960353b8c739a,大石地铁站总 / 地铁大石(新光快速),BV10728326 / BV10020322,大石地铁站总站 / 地铁大石站,2
652464eea9b34ee380d767e76269f45d,大石地铁站总 / 地铁大石(新光快速),BV10728326 / BV10020322,大石地铁站总站 / 地铁大石站,2
809e85866c1647229d39e9cb74ace6d0,迎龙路(石门禅院) / 迎龙路#2,BV09396367 / BV09345882,迎龙路（石门禅院）,2
f1d46968e93e4d048a1f5dd0a54f28d3,解放北路总站(应元路口) / 解放北路(应元路口),BV10387132 / BV11663428,解放北路（应元路口）总站 / 解放北路（应元路口）,2
cdcbe138bbe34957881f9f958408dddf,科学城(揽月路)总 / 科学城总站(揽月路),BV09199365 / BV09266626,科学城（揽月路）总站 / 科学城（揽月路）总站①,2
286b8f32af1d44a5bcb83185a4c73260,开创大道(科翔路口) / 开创大道总,BV09002104 / BV10018706,开创大道（科翔路口）,2
b9d5afc41f144aa0a1d62f0b7bee02e0,开创大道#1 / 开创大道(香雪山南),BV10653045 / BV11690285,开创大道（香雪山南）,2
a6a7dcf417174a07b7b4214795d05a82,科丰路(科林路口) / 科丰路（科林路口）,BV09267391 / CL100014,科丰路（科林路口）,2
7a290ec6b85e4ac58ea481e1f7a105cd,广汕路(科景路口)总 / 广汕路总站(科景路口),BV09070817 / BV09074106,广汕路（科景路口）总站,2
0972649558294ff0a66728c0bbcf61d4,奥体南路 / 奥体南路总,BV11279578 / BV11388273,奥体南路,2
b7193a38b82244ba812279bb796c0ca2,奥体南路 / 奥体南路总,BV11279578 / BV11388273,奥体南路,2
61b31327153a49a881b627f80691d218,开源大道 / 开源大道(云信路口),BV09067478 / BV09065655,开源大道（云信路口）,2
00fa0ed6ab764427a1c50ddb94c842d3,开泰大道(瑞和路口) / 开泰大道站(瑞和路口),BV10846994 / BV10924416,开泰大道（瑞和路口）,2
0ad6a4040e3940b1bbf762cb76506942,萝岗香雪总 / 萝岗香雪(梅花世界)总,BV10017511 / BV11632957,萝岗香雪（梅花世界）总站,2
44a5a36186374643914c54ead9b6c934,华峰路口总 / 华峰路口,BV09097133 / BV09368449,华峰路口总站 / 华峰路口,2
0d0f19f4da9f4609af308cfd69cf8328,永和总#1 / 永和(万科里享家)总,BV10767509 / BV09385631,永和（万科里享家）总站,2
18324a83edd54f078d3bc03554a138de,开泰大道(开源路口) / 开泰大道(东荟城)#1,BV09237474 / BV10924417,开泰大道（开源路口）,2
6cde7864b8dd41f2bbccb5884e335e61,云埔一路总 / 云埔一路(中一药业)总,BV10017550 / BV10991201,云埔一路（中一药业）总站,2
ea3230d8a0824d7999b96050c1c54464,开泰大道(新阳路口)#1 / 开泰大道(科丰路口),BV11466898 / BV09005644,开泰大道（新阳路口）,2
aa0c7273e73e407cbe8e53ed79126ec7,开泰大道(新阳路口)#1 / 开泰大道(新阳路口)#2,BV11466898 / BV11690288,开泰大道（新阳路口）,2
59220f6ef4264f8b94d845e8bc107f97,火村东 / 火村东总,BV10021347 / BV10014162,火村东 / 火村东总站,2
a3aa979d2e754d0d964ce207bc422f1a,荔红路 / 萝岗总,BV09232690 / BV10018576,荔红路（萝岗中医院） / 萝岗总站,2
7e2e92ef5325485689e65a7f9ce443d2,南岗总 / 南岗(总站),BV10017343 / BV09074314,南岗总站,2
528b59c5a95b490d87e612fff27365f7,永和开发区 / 永和开发区总,BV10013974 / BV10490938,永和开发区 / 永和开发区总站,2
0b6b4523fd044e53b861a2a0bc4255b3,凤凰五路(粤芯路口) / 凤凰五路,BV09394736 / BV09112243,凤凰五路,2
2a5280eff82f46aa8c225c829d3e81fa,地铁红卫 / 地铁红卫站总,BV10974234 / BV11598269,地铁红卫站 / 地铁红卫站总站,2
54cd78686d094392a853e0090d51cac2,鱼珠码头 / 鱼珠码头总,BV11361606 / BV10018096,鱼珠码头,2
5d38ccb835a44dbfaea0eb2f68926ef0,知识城南总 / 知识城南(凤湖四路),BV11302780 / BV11360164,知识城南总站（地铁何棠下站）,2
62a7411546f24883b649ad20f828ea6c,穗丰村总站(兴太三路) / 穗丰村(兴太三路)总,BV09403797 / BV09403105,穗丰村（兴太三路）总站,2
70b979f2f9e04ac796f621abcaa00684,联和墟 / 联和墟总,BV11689574 / BV10022293,联和墟 / 联和墟总站,2
5dda6fac78dd4f6ba87ccb9cf53fdde2,云埔一路 / 云埔一路总,BV11379024 / BV10017550,云埔一路,2
8b3c26107f0f41eebae3e485c988e164,裕丰围总 / 地铁裕丰围,BV09245156 / BV09176208,裕丰围总站 / 地铁裕丰围站,2
