置信度,分类,站名,记录平台ID,远侧方向数,散布(m),距平台(m),汇聚点经度,汇聚点纬度,邻近平台名,邻近平台ID,邻近距离(m),涉及线路
中,补台,官海街口,BV10382343,2,8,229,113.281870,23.288356,官海街口,BV10382343,229,427路
中,补台,旗新村,BV10462375,2,8,178,113.211178,23.475193,旗新村,BV10462375,178,花25B路
中,换台(高),福和市场,BV10021565,2,10,132,113.630016,23.363283,福和医院,BV10860787,59,增城41路
中,补台,珠宝城,BV10019572,2,11,342,113.157706,23.399200,珠宝城,BV10019572,342,花9路
中,补台,邮轮母港站,BV09099109,2,12,151,113.602498,22.775862,邮轮母港站,BV09099109,151,南沙24路
中,换台(低),坑口地铁站总站,BV09073347,2,14,144,113.227519,23.080855,坑口地铁站,BV10018354,132,181路、769路/769路快线
中,换台(低),含珠村站,BV10018454,2,14,137,113.448263,22.865976,含珠村站,BV10018454,137,南36路
中,换台(低),钟落潭高校园,BV11166864,2,15,117,113.433981,23.389622,钟落潭高校园,BV11166864,117,979路
中,换台(高),花都广场,BV10016943,2,17,413,113.216806,23.401266,花都广场(地铁A出口),BV11552460,23,花75A路
中,换台(低),海印桥南,BV11688474,2,18,133,113.279486,23.106302,海印桥南,BV11688474,133,264路
中,补台,美国工业园,BV10015587,2,18,160,113.164853,23.414875,美国工业园,BV10015587,160,花都113路
中,换台(低),汽车城地铁站,BV10016577,2,22,217,113.503429,22.839813,汽车城地铁站(鸡谷山路),BV11639443,110,南沙70路
中,补台,永和医院站,BV09173363,2,30,703,113.592468,23.181482,永和中队站,BV09173362,688,增城12路
中,换台(低),仙村路口站,BV11690284,2,31,141,113.710814,23.193224,仙村路口站,BV11690284,141,增城34路、增城39路
中,换台(低),科城山庄总站,BV10846983,2,32,116,113.478586,23.189500,科城山庄总站,BV10846983,116,327A路、330路
中,换台(中),综合商业北区,BV10013797,2,32,236,113.380518,23.062566,综合商业北区(临时站),BV11322770,92,夜65路、番202路旅游专线
中,补台,员村总站,BV10389050,2,36,777,113.366279,23.117660,琶洲大桥北总站,BV10580172,260,243路、B11路
中,补台,赤坭,BV11375043,2,92,356,113.072642,23.391344,赤坭一幼,BV10014748,250,花115路
中,换台(高),南洲北路总站,BV10019120,2,98,676,113.296791,23.073470,南洲北路,BV10014357,32,247路
