线路,方向记录数,本地起讫,首班,末班,运营公司,状态分类,车来了起讫
广275路,2,平洲总站 ⇄ 解放北路总站(应元路口) / 解放北路总站(应元路口) ⇄ 平洲总站,,,巴士集团,可核对（方向记录已匹配）,平洲（富丰君御）总站 ⇄ 解放北路（应元路口）总站 / 解放北路（应元路口）总站 ⇄ 平洲（富丰君御）总站
广276路,2,万科四季花城总站 ⇄ 南洲北路总站 / 南洲北路总站 ⇄ 万科四季花城总站,,,广州第一巴士客运公司(广州新穗巴士客运公司),可核对（方向记录已匹配）,南洲北路（好信广场）总站 ⇄ 万科四季花城总站 / 万科四季花城总站 ⇄ 南洲北路（好信广场）总站
广277路,2,沙面新城总站 ⇄ 西塱社区总站 / 西塱社区总站 ⇄ 沙面新城总站,06:00,22:00,巴士集团,可核对（方向记录已匹配）,西塱社区总站 ⇄ 沙面新城总站 / 沙面新城总站 ⇄ 西塱社区总站
广283路,2,万科四季花城总站 ⇄ 广州火车东站总站 / 广州火车东站总站 ⇄ 万科四季花城总站,,,广州第二巴士客运公司,可核对（方向记录已匹配）,广州火车东站总站 ⇄ 万科四季花城总站 / 万科四季花城总站 ⇄ 广州火车东站总站 / 天河公交场总站 ⇄ 白沙（中海金沙湾）总站 / 白沙（中海金沙湾）总站 ⇄ 天河公交场总站
广283路班车,2,天河公交场总站 ⇄ 白沙总站 / 白沙(中海金沙湾)总站 ⇄ 天河公交场总站,,,广州第二巴士客运公司,可核对（方向记录已匹配）,广州火车东站总站 ⇄ 万科四季花城总站 / 万科四季花城总站 ⇄ 广州火车东站总站 / 天河公交场总站 ⇄ 白沙（中海金沙湾）总站 / 白沙（中海金沙湾）总站 ⇄ 天河公交场总站
广286路,2,广卫路总站 ⇄ 黄岐第一城总站 / 黄岐第一城总站 ⇄ 广卫路总站,06:30,22:00,巴士集团,可核对（方向记录已匹配）,广卫路总站 ⇄ 黄岐第一城总站 / 黄岐第一城总站 ⇄ 广卫路总站
广369路,2,中大新华学院(东莞校区)总站 ⇄ 黄埔体育中心总站 / 黄埔体育中心总站 ⇄ 中大新华学院(东莞校区)总站,,,广州公交集团,可核对（方向记录已匹配）,黄埔体育中心总站 ⇄ 中大新华学院（东莞校区）总站 / 中大新华学院（东莞校区）总站 ⇄ 黄埔体育中心总站
广412路,1,中海锦城总站 ⇄ 中海锦城总站,06:00,22:00,广州公交集团一汽巴士客运公司,可核对（方向记录已匹配）,中海锦城总站 ⇄ 中海锦城总站
广419路,2,坑口地铁站总站 ⇄ 滘口客运站总站 / 滘口客运站总站 ⇄ 坑口地铁站总站,06:30,21:30,巴士集团,可核对（方向记录已匹配）,滘口客运站总站 ⇄ 坑口地铁站总站 / 坑口地铁站总站 ⇄ 滘口客运站总站
广424路,2,白云文化广场总站 ⇄ 白沙总站 / 白沙总站 ⇄ 白云文化广场总站,,,广州第二巴士客运公司,可核对（方向记录已匹配）,白云文化广场总站 ⇄ 白沙（中海金沙湾）总站 / 白沙（中海金沙湾）总站 ⇄ 白云文化广场总站
广478路,2,富力环市西苑(西村) ⇄ 白沙总站 / 白沙总站 ⇄ 富力环市西苑(西村),,,广州第二巴士客运公司,可核对（方向记录已匹配）,白沙（中海金沙湾）总站 ⇄ 白沙（中海金沙湾）总站
广565路,2,瑞宝乡总站 ⇄ 穗盐路总站 / 穗盐路总站 ⇄ 瑞宝乡总站,,,巴士集团,可核对（方向记录已匹配）,南洲花园总站 ⇄ 穗盐路（雍景豪园）总站 / 穗盐路（雍景豪园）总站 ⇄ 南洲花园总站
广657路,2,西华村总站 ⇄ 金沙洲码头总站 / 金沙洲码头 ⇄ 西华村总站,,,广州第二巴士客运公司,可核对（方向记录已匹配）,金沙洲码头总站① ⇄ 西华村（西华寺） / 西华村（西华寺） ⇄ 金沙洲码头总站①
广746路,2,沿江路总站 ⇄ 沿江路总站 / 白沙总站 ⇄ 沿江路总站,,,广州第二巴士客运公司,可核对（方向记录已匹配）,沿江路总站 ⇄ 沿江路总站
广789路,1,地铁沙贝站总站 ⇄ 地铁沙贝站总站,,,广州第二巴士客运公司,可核对（方向记录已匹配）,地铁沙贝站总站 ⇄ 地铁沙贝站总站
广969路,2,中南花园总站 ⇄ 五眼桥总站 / 五眼桥总站 ⇄ 中南花园总站,,,广州第一巴士客运公司(广州市电车客运公司),可核对（方向记录已匹配）,五眼桥（岭南花卉市场）总站 ⇄ 中南花园总站 / 中南花园总站 ⇄ 五眼桥（岭南花卉市场）总站
广974路,2,城西花园总站 ⇄ 东秀路总站 / 东秀路总站 ⇄ 城西花园,09:10,16:20,广州第二巴士客运公司,可核对（方向记录已匹配）,城西花园总站② ⇄ 东秀路总站 / 东秀路总站 ⇄ 城西花园总站②
广974路班车,2,东秀路总站 ⇄ 城西花园1 / 城西花园站 ⇄ 东秀路总站,,,广州第二巴士客运公司,可核对（方向记录已匹配）,城西花园总站② ⇄ 东秀路总站 / 东秀路总站 ⇄ 城西花园总站②
广高峰快线30路,2,万科四季花城总站 ⇄ 体育中心 / 体育中心 ⇄ 万科四季花城总站,,,广州第二巴士客运公司,可核对（方向记录已匹配）,体育中心② ⇄ 万科四季花城总站 / 万科四季花城总站 ⇄ 体育中心②
广夜111路,1,中海锦城总站 ⇄ 中海锦城总站,22:30,23:30,广州第一巴士客运公司,可核对（方向记录已匹配）,中海锦城总站 ⇄ 中海锦城总站
广夜54路,1,白沙总站(中海金沙湾) ⇄ 白沙(中海金沙湾)总站,22:10,00:30,广州第二巴士客运公司,可核对（方向记录已匹配）,白沙（中海金沙湾）总站 ⇄ 白沙（中海金沙湾）总站
广夜58路,2,中山八路总站 ⇄ 沙面新城站 / 沙面新城站 ⇄ 中山八路总站,22:20,01:00,巴士集团,可核对（方向记录已匹配）,沙面新城总站 ⇄ 中山八路总站 / 中山八路总站 ⇄ 沙面新城总站
广夜67路,2,广卫路总站 ⇄ 黄岐办事处总站 / 黄岐办事处总站 ⇄ 广卫路总站,,,巴士集团,可核对（方向记录已匹配）,广卫路总站② ⇄ 黄岐办事处总站 / 黄岐办事处总站 ⇄ 广卫路总站②
广夜91路,2,西华村总站 ⇄ 金沙洲码头总站 / 金沙洲码头总站 ⇄ 西华村总站,22:10,23:30,广州第二巴士客运公司,可核对（方向记录已匹配）,金沙洲码头总站 ⇄ 西华村（西华寺） / 西华村（西华寺） ⇄ 金沙洲码头总站
桂09路,1,富丰广场 ⇄ 富丰广场,,,,可核对（方向记录已匹配）,富丰广场 ⇄ 富丰广场
桂11路,1,保利心语花园 ⇄ 保利心语花园,06:30,19:30,佛山南海佛广客运公司,可核对（方向记录已匹配）,保利心语花园 ⇄ 保利心语花园
桂12路,2,环岛南路中 ⇄ 芳村西塱总站 / 芳村西塱总站 ⇄ 环岛南路中,06:30,22:00,佛山南海佛广客运公司,可核对（方向记录已匹配）,芳村西塱总站 ⇄ 环岛南路中（保利滨湖） / 环岛南路中（保利滨湖） ⇄ 芳村西塱总站
桂21路,2,保利心语花园 ⇄ 芳村西塱总站 / 芳村西塱总站 ⇄ 保利心语花园,06:30,21:30,佛山南海佛广客运公司,可核对（方向记录已匹配）,保利心语花园 ⇄ 保利心语花园
桂23路,2,惠云园公交首末站 ⇄ 芳村客运站总站 / 芳村客运站总站 ⇄ 惠云园公交首末站,06:00,22:30,佛山恒通客运公司,可核对（方向记录已匹配）,芳村西塱总站 ⇄ 东方广场北门总站 / 东方广场北门总站 ⇄ 芳村西塱总站
花11路,2,团结村总站 ⇄ 联乡路总站 / 联乡路总站 ⇄ 团结村总站,,,广州花都集团,可核对（方向记录已匹配）,联乡路总站 ⇄ 团结村总站 / 团结村总站 ⇄ 联乡路总站
花15路,2,赤坭西莲塘村委总站 ⇄ 炭步总站 / 飞鹅岭地铁总站 ⇄ 赤坭西莲塘村委总站,,,广州花都集团,可核对（方向记录已匹配）,赤坭西莲塘村委总站 ⇄ 炭步总站 / 炭步总站 ⇄ 赤坭西莲塘村委总站
花16路,2,富力金港城总站 ⇄ 胡忠儿童医院总站 / 胡忠儿童医院总站 ⇄ 富力金港城总站,06:30,21:30,花都公汽,可核对（方向记录已匹配）,富力金港城总站 ⇄ 胡忠儿童医院 / 胡忠儿童医院 ⇄ 富力金港城总站
花18路,2,中建映花悦府 ⇄ 新和村 / 新和村 ⇄ 中建映花悦府,,,花都公汽,可核对（方向记录已匹配）,中建映花悦府总站 ⇄ 花都儿童公园 / 花都儿童公园 ⇄ 中建映花悦府总站
花19路,2,融创公交总站 ⇄ 马溪总站 / 马溪总站 ⇄ 融创公交总站,06:30,21:30,广州花都集团,可核对（方向记录已匹配）,马溪总站 ⇄ 融创公交总站 / 融创公交总站 ⇄ 马溪总站
花1路,4,人和地铁站 ⇄ 广州北站西广场 / 广州北站西广场 ⇄ 人和地铁站 / 白蟮塘 ⇄ 西岭村东 / 西岭村东 ⇄ 白蟮塘,,,,可核对（方向记录已匹配）,西岭村东 ⇄ 白鳝塘 / 白鳝塘 ⇄ 西岭村东
花21路,2,东莞村总站 ⇄ 广清城际乐同站 / 广清城际乐同站 ⇄ 东莞村总站,,,广州花都集团,可核对（方向记录已匹配）,石陂 ⇄ 东莞村总站 / 东莞村总站 ⇄ 石陂
花22路,2,汽车城 ⇄ 镜湖工业区总站 / 镜湖工业区总站 ⇄ 汽车城,,,广州花都集团,可核对（方向记录已匹配）,花都汽车城总站 ⇄ 镜湖工业区总站 / 镜湖工业区总站 ⇄ 花都汽车城总站
花23路,2,广州北站西广场 ⇄ 广清城际狮岭站 / 广清城际狮岭站 ⇄ 广州北站西广场,06:30,20:00,花都公汽,可核对（方向记录已匹配）,广州北站西广场总站 ⇄ 广清城际狮岭站 / 广清城际狮岭站 ⇄ 广州北站西广场总站
花24路,2,颐和盛世总站 ⇄ 飞鹅岭地铁口总站 / 飞鹅岭地铁总站 ⇄ 颐和盛世总站,,,广州花都集团,可核对（方向记录已匹配）,飞鹅岭地铁口总站 ⇄ 颐和盛世总站 / 颐和盛世总站 ⇄ 飞鹅岭地铁口总站
花24A路,2,炭步总站 ⇄ 陆仕水产总站 / 陆仕水产总站 ⇄ 炭步总站,,,,可核对（方向记录已匹配）,炭步总站 ⇄ 大坳村 / 大坳村 ⇄ 炭步总站
花25路,2,城东停车场 ⇄ 盘古王公园总站 / 盘古王公园总站 ⇄ 城东停车场,,,花都公汽,可核对（方向记录已匹配）,花都湖总站 ⇄ 盘古王公园总站 / 盘古王公园总站 ⇄ 花都湖总站
花25B路,2,旗岭市场 ⇄ 芙滨路西 / 芙滨路西 ⇄ 旗岭市场,09:30,17:30,广州花都集团,可核对（方向记录已匹配）,旗岭市场 ⇄ 芙滨路西 / 芙滨路西 ⇄ 旗岭市场
花2路,2,民航学院总站 ⇄ 饮食风情街 / 饮食风情街 ⇄ 民航学院总站,,,花都公汽,可核对（方向记录已匹配）,饮食风情街总站 ⇄ 民航学院正门 / 民航学院正门 ⇄ 饮食风情街总站
花30路,2,东莞村总站 ⇄ 广州城市理工学院 / 广州城市理工学院 ⇄ 东莞村总站,,,广州花都集团,可核对（方向记录已匹配）,联乡路总站 ⇄ 广州城市理工学院总站 / 广州城市理工学院总站 ⇄ 联乡路总站
花31路,2,天贵雅苑 ⇄ 天马河公馆 / 天马河公馆 ⇄ 三东村,,,广州花都集团,可核对（方向记录已匹配）,天贵雅苑 ⇄ 天马河公馆总站 / 天马河公馆总站 ⇄ 天贵雅苑
花31B路,2,广州北站西广场 ⇄ 狮岭工商学院 / 狮岭工商学院 ⇄ 广州北站西广场,,,广州花都客运公司,可核对（方向记录已匹配）,广州工商学院总站 ⇄ 广州北站西广场总站 / 广州北站西广场总站 ⇄ 广州工商学院总站
花32路,2,东方村总站 ⇄ 阳升村总站 / 阳升村总站 ⇄ 东方村总站,,,广州花都集团,可核对（方向记录已匹配）,东方村总站 ⇄ 阳升村 / 阳升村 ⇄ 东方村总站
花37路,2,城东停车场总站 ⇄ 岐山村市场站 / 岐山村市场 ⇄ 城东停车场总站,,,广州花都集团,可核对（方向记录已匹配）,岐山村市场 ⇄ 城东停车场总站 / 城东停车场总站 ⇄ 岐山村市场
花39路短线,2,万科城 ⇄ 风神花园 / 飞鹅岭地铁口 ⇄ 万科城,,,广州花都集团,可核对（方向记录已匹配）,万科城总站 ⇄ 飞鹅岭地铁口总站（短线） / 站前路公交总站（长线） ⇄ 万科城总站
花4路,2,东方村总站 ⇄ 东环城际花山镇站 / 东环城际花山镇站 ⇄ 东方村总站,06:40,16:40,广州花都集团,可核对（方向记录已匹配）,东方村总站 ⇄ 东环城际花山镇站 / 东环城际花山镇站 ⇄ 东方村总站
花5路,2,炭步总站 ⇄ 站前路公交总站 / 站前路公交总站 ⇄ 炭步总站,06:30,22:00,广州花都集团,可核对（方向记录已匹配）,炭步总站 ⇄ 站前路公交总站 / 站前路公交总站 ⇄ 炭步总站
花5B路,2,文岗 ⇄ 飞鹅岭地铁口总站 / 飞鹅岭地铁口总站 ⇄ 文岗,,,花都公汽,可核对（方向记录已匹配）,闵岗总站 ⇄ 飞鹅岭地铁口总站 / 飞鹅岭地铁口总站 ⇄ 闵岗总站
花62路,2,广州北站(秀全大道) ⇄ 狮岭汽车站总站 / 狮岭汽车站总站 ⇄ 广州北站(秀全大道),06:00,21:00,广州花都恒通客运公司,可核对（方向记录已匹配）,广州北站（秀全大道）总站 ⇄ 狮岭汽车站总站 / 狮岭汽车站 ⇄ 广州北站（秀全大道）总站
花63路,2,新雅街道办站 ⇄ 芙蓉度假村站 / 芙蓉度假村站 ⇄ 新雅街道办站,06:30,18:00,广州花都恒通客运公司,可核对（方向记录已匹配）,广州北站（秀全大道）总站 ⇄ 芙蓉嶂光明楼 / 芙蓉嶂光明楼 ⇄ 广州北站（秀全大道）总站
花63路短线,2,雅瑶公交总站 ⇄ 高新技术学校路口站 / 高新技术学校路口 ⇄ 雅瑶公交总站,06:00,20:15,,可核对（方向记录已匹配）,广州北站（秀全大道）总站 ⇄ 芙蓉嶂光明楼 / 芙蓉嶂光明楼 ⇄ 广州北站（秀全大道）总站
花68路,2,兴仁汽车站 ⇄ 新雅街道办站 / 新雅街道办站 ⇄ 兴仁汽车站,06:20,19:40,花都恒通,可核对（方向记录已匹配）,广州北站（站前路） ⇄ 兴仁汽车总站 / 兴仁汽车总站 ⇄ 广州北站（站前路）
花68路短线,2,新雅街道办 ⇄ 赤坭医院 / 赤坭医院 ⇄ 新雅街道办站,06:00,21:30,广州花都恒通客运公司,可核对（方向记录已匹配）,广州北站（站前路） ⇄ 兴仁汽车总站 / 兴仁汽车总站 ⇄ 广州北站（站前路）
花70路,2,清塘地铁站 ⇄ 荔红路总站 / 茘红路总站 ⇄ 清塘地铁站,08:00,18:00,广州花都恒通客运公司,可核对（方向记录已匹配）,清塘地铁站 ⇄ 荔红路总站 / 荔红路总站 ⇄ 清塘地铁站
花70路短线,2,荔红路总站 ⇄ 马鞍山公园西门 / 马鞍山公园西门 ⇄ 荔红路总站,06:30,19:30,,可核对（方向记录已匹配）,清塘地铁站 ⇄ 荔红路总站 / 荔红路总站 ⇄ 清塘地铁站
花73路,2,广州北站(秀全大道) ⇄ 神山总站 / 神山站 ⇄ 广州北站(秀全大道),,,广州花都恒通客运公司,可核对（方向记录已匹配）,神山总站 ⇄ 广州北站（秀全大道）总站 / 广州北站（秀全大道）总站 ⇄ 神山总站
花7路,2,广州北站西广场 ⇄ 广州城市理工学院 / 广州城市理工学院 ⇄ 广州北站西广场,,,广州市花都公共汽车有限公司,可核对（方向记录已匹配）,广州北站西广场总站 ⇄ 广州城市理工学院总站 / 广州城市理工学院总站 ⇄ 广州北站西广场总站
花80路,2,义山村委总站 ⇄ 广州北站总站 / 广州北站总站 ⇄ 义山村委总站,,,广州富都客运公司,可核对（方向记录已匹配）,广州北站（站前路） ⇄ 义山村委总站 / 义山村委总站 ⇄ 广州北站（站前路）
花81路,4,三水大塘中心广场 ⇄ 广州北站 / 广州北站(秀全大道) ⇄ 三水大塘中心广场总站 / 珊瑚 ⇄ 赤坭 / 赤坭 ⇄ 珊瑚,,,,可核对（方向记录已匹配）,赤坭 ⇄ 珊瑚 / 珊瑚 ⇄ 赤坭
花81A路,2,狮岭汽车站 ⇄ 联星村 / 联星村 ⇄ 狮岭汽车站,,,广州公交集团二汽公司,可核对（方向记录已匹配）,狮岭汽车站 ⇄ 联星村总站 / 联星村总站 ⇄ 狮岭汽车站
花83路,2,东环城际花山镇站 ⇄ 狮岭龙头市场 / 狮岭龙头市场 ⇄ 东环城际花山镇站,,,广州市富都客运公司,可核对（方向记录已匹配）,东环城际花山镇站 ⇄ 狮岭龙头市场 / 狮岭龙头市场 ⇄ 东环城际花山镇站
花83B路,2,两龙汽车总站 ⇄ 旗岭市场 / 旗岭市场 ⇄ 两龙汽车总站,,,广州富都客运公司,可核对（方向记录已匹配）,两龙总站 ⇄ 旗岭市场总站 / 旗岭市场总站 ⇄ 两龙总站
花84路,2,地铁太平站 ⇄ 广州北站 / 广州北站 ⇄ 地铁太平站,06:00,21:00,广州市富都客运有限公司,可核对（方向记录已匹配）,广州北站（站前路） ⇄ 地铁太平站总站 / 地铁太平站总站 ⇄ 广州北站（站前路）
花85路,2,天湖峰境总站 ⇄ 广州北站总站 / 广州北站总站 ⇄ 天湖峰境总站,07:10,20:20,广州富都客运有限公司;广州花都集团,可核对（方向记录已匹配）,广州北站（站前路） ⇄ 北兴天湖峰境总站 / 北兴天湖峰境总站 ⇄ 广州北站（站前路）
花86路,2,广州北站 ⇄ 金碧御水山庄总站 / 金碧御水山庄总站 ⇄ 广州北站,,,广州市富都客运有限公司,可核对（方向记录已匹配）,广州北站（站前路） ⇄ 金碧御水山庄总站 / 金碧御水山庄总站 ⇄ 广州北站（站前路）
花88路,2,旗岭华严寺总站 ⇄ 赤坭医院总站 / 赤坭医院 ⇄ 华严寺,06:20,18:30,广州富都客运公司,可核对（方向记录已匹配）,旗岭 ⇄ 赤坭医院 / 赤坭医院 ⇄ 旗岭
花88路短线,2,乌石总站 ⇄ 华严寺总站 / 华严寺总站 ⇄ 乌石总站,07:10,20:30,广州市富都客运有限公司,可核对（方向记录已匹配）,旗岭 ⇄ 赤坭医院 / 赤坭医院 ⇄ 旗岭
花8路,2,临时站 ⇄ 平西村 / 平西村 ⇄ 东镜村总站,,,广州市富都客运有限公司,可核对（方向记录已匹配）,平西村总站 ⇄ 东镜村总站 / 东镜村总站 ⇄ 平西村总站
花93路,2,振兴村 ⇄ 碧桂园路口 / 碧桂园路口 ⇄ 振兴村,07:00,17:00,广州市富都客运有限公司,可核对（方向记录已匹配）,碧桂园路口 ⇄ 振兴村 / 振兴村 ⇄ 碧桂园路口
花9路,2,佳仕达工业园总站 ⇄ 城东停车场(花都湖) / 城东停车场(花都湖) ⇄ 佳仕达工业园总站,,,广州花都集团,可核对（方向记录已匹配）,城东停车场（花都湖） ⇄ 佳仕达工业园总站 / 佳仕达工业园总站 ⇄ 城东停车场（花都湖）
嘉禾5线,2,地铁嘉禾望岗站 ⇄ 红旗坊 / 红旗坊 ⇄ 地铁嘉禾望岗站总站,07:00,22:00,,可核对（方向记录已匹配）,嘉禾望岗总站 ⇄ 红旗坊 / 红旗坊 ⇄ 嘉禾望岗总站
科教城1路,1,科教城东公交总站 ⇄ 科教城东公交总站,,,,可核对（方向记录已匹配）,工贸学院 ⇄ 工贸学院
科教城2路,1,公用技师学院 ⇄ 公用技师学院,,,,可核对（方向记录已匹配）,公用技师学院 ⇄ 公用技师学院
科学城3号交通专线/K3路,1,广东国防教育基地总站 ⇄ 广东国防教育基地总站,,,广州第一巴士客运公司(广州市电车客运公司),可核对（方向记录已匹配）,广东国防教育基地总站 ⇄ 广东国防教育基地总站
空港1路,2,1号航站楼 ⇄ 一号航站楼 / 一号航站楼(26-29号门) ⇄ 一号航站楼,06:25,22:00,空港快线运输有限公司,可核对（方向记录已匹配）,2号航站楼始发 ⇄ 2号航站楼始发
空港2路,2,长线)(1号航站楼 ⇄ 人和墟总站 / 长线)(人和墟总站 ⇄ 1号航站楼,07:00,00:00,白云空港运输,可核对（方向记录已匹配）,人和华成路（新村公园） ⇄ 人和华成路（新村公园） / 地铁高增站总站 ⇄ T3航站楼东客运站 / T3航站楼东客运站 ⇄ 地铁高增站总站
乐平01B路,2,广州工商学院 ⇄ 花都飞鹅岭地铁口 / 花都飞鹅岭地铁口 ⇄ 广州工商学院,,,,可核对（方向记录已匹配）,广州工商学院（三水校区） ⇄ 花都飞鹅岭地铁口 / 花都飞鹅岭地铁口 ⇄ 广州工商学院（三水校区）
里07路,1,里水汽车客运站 ⇄ 三骏市场,06:30,22:30,佛山南海佛广客运公司,可核对（方向记录已匹配）,里水公交枢纽站 ⇄ 三骏市场 / 三骏市场 ⇄ 里水公交枢纽站
里07路短线/佛里07路里广快线,2,南方医科大学第七附属医院 ⇄ 地铁浔峰岗站 / 地铁浔峰岗站 ⇄ 南方医科大学第七附属医院,06:30,22:00,佛山南海佛广客运公司,可核对（方向记录已匹配）,里水公交枢纽站 ⇄ 三骏市场 / 三骏市场 ⇄ 里水公交枢纽站
里07路高峰线,2,里水汽车客运站 ⇄ 三骏市场 / 三骏市场 ⇄ 里水汽车客运站,06:30,22:30,佛广公汽,可核对（方向记录已匹配）,里水公交枢纽站 ⇄ 三骏市场 / 三骏市场 ⇄ 里水公交枢纽站
里14,1,地铁浔峰岗站 ⇄ 里水城区,07:10,19:30,佛广交通,可核对（方向记录已匹配）,新材料C区 ⇄ 地铁浔峰岗站 / 地铁浔峰岗站 ⇄ 新材料C区
里14路,1,新材料C区 ⇄ 地铁浔峰岗站,06:30,19:00,佛山恒通客运公司,可核对（方向记录已匹配）,新材料C区 ⇄ 地铁浔峰岗站 / 地铁浔峰岗站 ⇄ 新材料C区
里17路,1,十里尚堤西苑 ⇄ 十里尚堤西苑,,,佛山南海佛广客运公司,可核对（方向记录已匹配）,十里尚堤西苑 ⇄ 十里尚堤西苑
沥12路,2,芳村大道西1 ⇄ 里水汽车客运站 / 里水汽车客运站 ⇄ 芳村大道西站,06:30,22:45,佛山南海佛广客运公司,可核对（方向记录已匹配）,里水公交枢纽站 ⇄ 芳村大道西 / 芳村大道西 ⇄ 里水公交枢纽站
沥20路,1,泌冲 ⇄ 泌冲,06:30,19:30,佛山南海佛广客运公司,可核对（方向记录已匹配）,泌冲（时代水岸） ⇄ 泌冲（时代水岸）
旅游公交1线,2,中山八路总站 ⇄ 云台花园总站 / 云台花园总站 ⇄ 中山八路总站,06:00,22:00,巴士集团,可核对（方向记录已匹配）,中山八路总站 ⇄ 云台花园总站 / 云台花园总站 ⇄ 中山八路总站
旅游公交2线,2,中山八路总站 ⇄ 珠江帝景苑总站 / 珠江帝景苑总站 ⇄ 中山八路总站,,,巴士集团,可核对（方向记录已匹配）,珠江帝景苑总站 ⇄ 中山八路总站 / 中山八路总站 ⇄ 珠江帝景苑总站
旅游公交3线,1,琶洲石基村总站 ⇄ 琶洲石基村总站,06:00,22:00,广州第三巴士客运公司(广州珍宝(白马)巴士客运公司),可核对（方向记录已匹配）,琶洲石基村（黄埔古港）总站 ⇄ 琶洲石基村（黄埔古港）总站
旅游观光1线,2,珠江泳场总站 ⇄ 黄埔古村总站 / 黄埔古村总站 ⇄ 珠江泳场总站,07:00,21:00,广州公交集团一汽巴士客运公司,可核对（方向记录已匹配）,黄埔古村总站 ⇄ 珠江泳场（海印公园）总站 / 珠江泳场（海印公园）总站 ⇄ 黄埔古村总站
南沙10路短线,2,冯马一村总站 ⇄ 新兴村卫生站 / 新兴村卫生站 ⇄ 冯马一村总站,,,,可核对（方向记录已匹配）,新兴村委总站 ⇄ 地铁万顷沙站 / 地铁万顷沙站 ⇄ 新兴村委总站
南沙12路,2,新兴村委总站 ⇄ 珠江电厂站 / 珠江电厂站 ⇄ 新兴村委总站,,,广州巴士集团南沙巴士有限公司,可核对（方向记录已匹配）,珠江电厂 ⇄ 新兴村委总站 / 新兴村委总站 ⇄ 珠江电厂
南沙13路,2,中山大学附属第一(南沙)医院 ⇄ 水牛头渡口站 / 水牛头渡口站 ⇄ 中山大学附属第一(南沙)医院,07:30,18:30,广州巴士集团南沙巴士有限公司,可核对（方向记录已匹配）,中山大学附属第一（南沙）医院 ⇄ 水牛头渡口总站 / 水牛头渡口总站 ⇄ 中山大学附属第一（南沙）医院
南沙15路,2,万科海上明月站 ⇄ 新海村总站 / 新海村总站 ⇄ 万科海上明月总站,,,南沙巴士客运公司,可核对（方向记录已匹配）,新海村卫生站 ⇄ 万科海上明月站 / 万科海上明月站 ⇄ 新海村卫生站
南沙16路,2,团结围总站 ⇄ 新垦站 / 新垦站 ⇄ 团结围站,,,广州巴士集团南沙巴士有限公司,可核对（方向记录已匹配）,团结围总站 ⇄ 新垦公交总站 / 新垦公交总站 ⇄ 团结围总站
南沙18路,2,南沙湾总站 ⇄ 蕉门地铁站 / 蕉门地铁(区政府)站 ⇄ 南沙湾总站,,,蒲州公司,可核对（方向记录已匹配）,邮轮母港公交总站 ⇄ 蕉门地铁（区政府）站 / 蕉门地铁（区政府）站 ⇄ 邮轮母港公交总站
南沙1路,2,金岭南路站 ⇄ 广州船坞总站 / 广州船坞总站 ⇄ 金岭南路站,05:30,21:50,广州巴士集团南沙巴士有限公司,可核对（方向记录已匹配）,大涌公交总站 ⇄ 广州船坞总站 / 广州船坞总站 ⇄ 大涌公交总站
南沙20路,2,中山大学附属第一(南沙)医院站 ⇄ 虎门渡口总站 / 虎门渡口(上湾小区)站 ⇄ 中山大学附属第一(南沙)医院站,,,广州巴士集团南沙巴士有限公司,可核对（方向记录已匹配）,中山大学附属第一（南沙）医院 ⇄ 虎门轮渡码头总站 / 虎门轮渡码头总站 ⇄ 中山大学附属第一（南沙）医院
南沙21路支线,2,地铁万顷沙站1 ⇄ 广州船坞总站 / 广州船坞总站 ⇄ 地铁万顷沙站,06:30,21:00,广州巴士集团南沙巴士有限公司一车队,可核对（方向记录已匹配）,广州船坞总站 ⇄ 地铁万顷沙站 / 地铁万顷沙站 ⇄ 广州船坞总站
南沙23路,1,雨洪公交总站 ⇄ 雨洪公交总站,07:00,19:00,,可核对（方向记录已匹配）,雨洪公交总站 ⇄ 雨洪公交总站
南沙23B路,1,地铁横沥站 ⇄ 地铁横沥站,,,广州南沙交通发展有限公司,可核对（方向记录已匹配）,地铁横沥站 ⇄ 地铁横沥站
南沙24路,2,横沥地铁站公交总站 ⇄ 虎门轮渡码头总站 / 虎门轮渡码头总站 ⇄ 横沥地铁站公交总站,06:00,22:00,南沙交通,可核对（方向记录已匹配）,横沥地铁站公交总站 ⇄ 虎门轮渡码头总站 / 虎门轮渡码头总站 ⇄ 横沥地铁站公交总站
南沙31路支线,1,蕉门公交总站 ⇄ 蕉门公交总站,,,,可核对（方向记录已匹配）,蕉门公交总站 ⇄ 蕉门公交总站
南沙32路,2,广大附中南沙实验学校站 ⇄ 蕉门公交总站 / 蕉门公交总站 ⇄ 广大附中南沙实验学校站,05:30,22:35,广州南沙润信客运公司,可核对（方向记录已匹配）,广大附中南沙实验学校 ⇄ 蕉门公交总站 / 蕉门公交总站 ⇄ 广大附中南沙实验学校
南沙33路,2,南沙中心医院西门站 ⇄ 榄核镇公交总站 / 榄核公交总站 ⇄ 南沙中心医院西门站,,,广州南沙润信客运公司,可核对（方向记录已匹配）,榄核公交总站 ⇄ 南沙中心医院西门站 / 南沙中心医院西门站 ⇄ 榄核公交总站
南沙35路支线,1,东涌湖公交总站 ⇄ 东涌湖公交总站,06:30,21:00,广州巴士集团南沙巴士有限公司二车队,可核对（方向记录已匹配）,东涌湖公交总站 ⇄ 东涌湖公交总站
