所属站,站组ID,分站名,平台ID,分站编号,车来了分站,经度,纬度,经停线路
科学城路口总站,科学城路口总,科学城路口总站,BV11010138,,科学城路口总站,113.409262,23.162536,776路
科学城南部公交场总站,科学城南部公交场总,科学城南部公交场总站,BV10017787,,,113.441442,23.154339,390路
科学城(揽月路)总站,科学城总站(揽月路),科学城(揽月路)总站,BV09199365,1,科学城（揽月路）总站,113.451124,23.164995,321路、326路、496路、B4A路
科学城(揽月路)总站,科学城总站(揽月路),科学城总站(揽月路),BV09266626,1,科学城（揽月路）总站①,113.451124,23.164995,326路、B4A路
科学大道,科学大道,科学大道,BV10847049,,科学大道（广东质检院）,113.419141,23.167890,325路、336路、355路、391路、494路、573路、581路、夜51路、科学城3号交通专线/K3路
科学大道(揽月路口),科学大道(揽月路口),科学大道(揽月路口),BV09406833,,科学大道（揽月路路口）,113.441587,23.167102,945路
科学大道(揽月路路口),科学大道(揽月路路口),科学大道(揽月路路口)站,BV10653043,,科学大道（揽月路路口）,113.441587,23.167102,355路、371路、391路、573路、945路、B4A路、夜51路、夜81路
科学大道(映日路口),科学大道(映日路口),科学大道(映日路口)站,BV11075868,,科学大道（映日路口）,113.451773,23.171823,371路、573路、夜51路
科学大道口,科学大道口,科学大道口2,BV09212867,2,科学大道口,113.410529,23.170916,497路、548路、564A路、564路、774路、776路、78A路、903路、B26路、B4路、夜100路、夜38路、夜53路
科学大道口,科学大道口,科学大道口,BV11687887,1,科学大道口,113.410139,23.170219,336路、355路、391路、494路、497路、548路、564路、581路、774路、776路、78A路、903路、B26路、B4路、夜100路、夜38路、夜53路、夜93路
科学大道西,科学大道西,科学大道西站,BV10847078,,科学大道西（地铁神舟路站）,113.425030,23.167745,325路、336路、355路、391路、494路、573路、581路、夜51路、科学城3号交通专线/K3路
科学大道中,科学大道中,科学大道中,BV10847058,,科学大道中,113.430643,23.167692,325路、336路、355路、391路、494路、573路、581路、夜51路、科学城3号交通专线/K3路
科学广场,科学广场,科学广场,BV09244069,,科学广场,113.447323,23.169444,349路、371路、391路、573路、573路快线、夜51路、夜81路
科学信息大厦,科学信息大厦,科学信息大厦站,BV09332613,,科学信息大厦,113.433817,23.167915,355路、371路、391路、506路、573路、945路、B4A路、夜51路、夜81路
科学院,科学院,科学院,BV11687860,,科学院,113.351134,23.185057,30路、39路、564路、775路、83路、84A路、84路、B12路、夜100路、夜10路、夜71路
科学院地化所,科学院地化所,科学院地化所,BV10714269,,科学院地化所,113.360320,23.145679,210路、214路、363路、503路、508路、776路、813路、B18路、B19路、大学城专线1路、大学城专线2路
科韵立交西,科韵立交西,科韵立交西,BV10019619,,科韵立交西,113.368703,23.142397,503路、776路、813路、大学城专线1路、大学城专线2路
科韵路,科韵路,科韵路,BV11689853,2,科韵路②,113.368690,23.125526,28路、304路、408路、496路、506路、541路、547路、582路、901A路、B22路、B25路、B7路、B7路快线、夜101路、夜132路、夜20路、大学城专线1路、大学城专线2路、582路班车
科韵路公交场,科韵路公交场,科韵路公交场,BV10014016,,科韵路公交场,113.368859,23.123590,28路、541路、547路、901A路、B22路
科韵路棠安路口,科韵路棠安路口,科韵路棠安路口,BV11688552,,科韵路棠安路口,113.371059,23.135113,28路、304路、408路、496路、503路、506路、541路、547路、582路、772路、901A路、B4A路、夜101路、夜132路、夜43路、夜68路、大学城专线1路、大学城专线2路、B14路、582路班车
科韵路中,科韵路中,科韵路中,BV11689167,,科韵路中,113.372239,23.145440,28路、541路、582路、772路、776路、901A路、B4A路、夜101路、夜132路、夜68路、582路班车
科韵路总站,科韵路总,科韵路总站,BV10022018,,科韵路总站,113.368667,23.123465,496路、506路、夜39路
科珠路(科研路口),科珠路(科研路口),科珠路(科研路口),BV09241978,,,113.432421,23.169758,325路、396路
科珠路北,科珠路北,科珠路北站,BV09234811,,科珠路北,113.432283,23.171132,325路、336路、345路、396路、B22路
科珠路口,科珠路口,科珠路口,BV10017793,,科珠路口,113.433031,23.145975,390路、490路、944路
科珠路南,科珠路南,科珠路南,BV11689177,,科珠路南,113.432032,23.149444,345路、364路、495路、581路、945路
可园,可园,可园,BV10262125,,可园,113.739220,23.042899,莞75路
克山,克山,克山2,BV09010643,2,克山②,113.239185,23.146648,198路、225路、268路、290路、34路、46路、524路、545路、823路、夜15路、夜18路、夜95路、夜96路、广231路
克山,克山,克山1,BV09377937,1,克山1,113.239918,23.147106,179路、198路、225路、238路、268路、274路、46路、524路、538路、545路、823路、夜15路、夜18路
克山,克山,克山,BV11102072,1,克山1,113.239197,23.146655,238路、42路、高峰快线80路
客村立交,客村立交,客村立交2,BV09377599,2,客村立交②,113.309850,23.100514,130路、131A路、131B路、189路、204路、225路、263路、266路、37路、53路、B9路、夜108路、夜23路、夜24路、夜34路、夜43路、夜66路
客村立交,客村立交,客村立交1,BV09377600,1,客村立交①,113.310021,23.099762,122路、130路、131B路、189路、195路、230路、252路、301A路、305路、51路、562路、836路、夜108路、夜28路、夜34路、夜43路、夜61路、夜88路
客村立交,客村立交,客村立交,BV11688553,3,客村立交3,113.310171,23.104241,122路、195路、230路、252路、301A路、305路、37路、51路、562路、836路、夜28路、夜61路、夜88路
客轮船厂,客轮船厂,客轮船厂,BV11687902,,客轮船厂,113.320556,23.057842,180路、195路、35路、468路、86路、997路、夜128路、夜34路、夜55路
坑贝村,坑贝村,坑贝村,BV11619432,,坑贝村,113.643525,23.280891,370路、增城11路、增城89路
坑贝地铁站,坑贝地铁,坑贝地铁站,BV11119378,,坑贝地铁站,113.638355,23.281368,370路、增城11路、增城89路
坑边路,坑边路,坑边路,BV11371742,,坑边路,113.444395,23.334618,726路、826路
坑口地铁站,坑口地铁,坑口地铁站,BV10018354,,坑口地铁站（芳村客运站）,113.226837,23.081858,207路、487路、552路、70路、74路、782A路、838路、839路、962路、966路、990路、夜113路、夜1路、广412路、广419路、广夜111路
坑口地铁站总站,坑口地铁站总,坑口地铁站总站,BV09073347,,坑口地铁站总站,113.227897,23.082104,181路、552路、769路/769路快线、广419路
坑田,坑田,坑田,BV10013821,,坑田,113.432960,23.109267,329路、432路
坑头,坑头,坑头,BV10013820,,坑头,113.436007,23.110148,329路、432路
坑头村,坑头村,坑头村站,BV11130508,,坑头村,113.390809,22.986896,公交地铁接驳专线8路、番51路、番59路
坑头村生态公园,坑头村生态公园,坑头村生态公园,BV10019989,,,113.393891,22.984583,番59路、番79路
坑头村总站,坑头村总,坑头村总站,BV11171750,,,113.392729,22.983451,公交地铁接驳专线8路
坑头东线,坑头东线,坑头东线,BV10023409,,坑头东线,113.396697,22.994263,番75路
坑头东线工业区,坑头东线工业区,坑头东线工业区,BV10425318,,,113.400541,22.982042,番59路、番79路、番81路
坑头工业区,坑头工业区,坑头工业区,BV10023366,,坑头工业区（市新路）,113.387553,22.984777,番51路、番79路
坑头市场,坑头市场,坑头市场,BV10020029,,坑头市场,113.390739,22.984823,公交地铁接驳专线8路、番79路
坑围村,坑围村,坑围村,BV10847184,,坑围村,113.514206,23.183321,327路、392路、942路、944路
坑尾村,坑尾村,坑尾村站,BV11308172,,坑尾村,113.524594,23.600559,从1路西线、从3路、从402路、从化921路
空港大道,空港大道(永和西街口),空港大道,BV09063602,,空港大道,113.286836,23.250311,793路、夜119路
空港大道,空港大道(永和西街口),空港大道(永和西街口)站,BV11534205,,空港大道（永和西街口）,113.286567,23.251121,嘉禾5线、嘉禾望岗地铁站便民车3线、夜119路
空港大道,空港大道#1,空港大道,BV11621666,,空港大道,113.282434,23.225336,539路、667路、793路、981路、夜119路、夜76路、743路
空港大道北站,空港大道北,空港大道北站,BV11279609,,,113.285518,23.234166,425路、539路、793路、夜119路、743路
空港大道中,空港大道中,空港大道中,BV10021250,,,113.280250,23.221597,539路、667路、793路、981路、夜119路、夜76路、743路
空港南六路,空港南六路,空港南六路,BV11630579,,空港南六路,113.290475,23.377398,空港1路、空港2路、空港2路公交短线
口岸大厦站,口岸大厦,口岸大厦站,BV10015945,,,113.668950,22.644887,南21路、南27路
口岸路口,口岸路口,口岸路口,BV11139587,,口岸路口,113.573891,23.543298,从10路、从21路长线、从7路、从903路、从夜3路
口岸综合楼,口岸综合楼,口岸综合楼,BV11622448,,口岸综合楼,113.294646,23.368926,空港1路
邝家庄东,邝家庄东,邝家庄东,BV10432264,,邝家庄东,113.233365,23.381490,花106路、花70路、花76路、701路
邝维煜中学,邝维煜中学,邝维煜中学,BV11306472,,邝维煜中学,113.200537,23.402692,712路、713路、夜92路、花109路、花10路、花18路、花22路、花2路、花62路、花63路、花63路短线、花68路、花68路白坭班车、花68路短线、花70路、花70路短线、花80路、花81路
矿泉街道办,矿泉街道办,矿泉街道办,BV11448848,,,113.241840,23.165315,商务专线3路
葵湖村,葵湖村,葵湖村,BV11463928,,,113.825672,23.193668,增城88路
葵蓬西滘村,葵蓬西滘村,葵蓬西滘村站,BV11167615,,葵蓬西滘村,113.210641,23.089904,414路、525路、780路
葵蓬西滘市场,葵蓬西滘市场,葵蓬西滘市场,BV10800908,,葵蓬西滘市场,113.210329,23.090138,414路
葵蓬小学,葵蓬小学,葵蓬小学,BV11167616,,葵蓬小学,113.210945,23.092086,414路、525路、780路
葵蓬一队,葵蓬一队,葵蓬一队,BV10017988,,葵蓬一队,113.215928,23.098586,414路
坤和街口,坤和街口,坤和街口,BV09334662,,坤和街口,113.317667,23.260998,799路、984路
腊布医院,腊布医院,腊布医院,BV11118816,,,113.783887,23.418424,增城58路
腊圃村,腊圃村,腊圃村,BV11119680,,腊圃村,113.784071,23.422234,增城15路、增城16路、增城41路、增城73路
腊圃路口,腊圃路口,腊圃路口,BV11294040,,腊圃路口,113.786331,23.417633,增城15路、增城15路快线、增城16路、增城58路、旅游专线1路、增城69路
腊圃医院,腊圃医院,腊圃医院,BV11359681,,腊圃医院,113.783887,23.418424,增城19路、增城41路、增城70路
辣塘路口,辣塘路口,辣塘路口,BV11308210,,辣塘路口,113.594975,23.500234,从301路
来安三街,来安三街,来安三街,BV10013841,,来安三街,113.547824,23.203087,341路
来安四街(珠江嘉园),来安四街(珠江嘉园),来安四街,BV10013842,,来安四街,113.550472,23.201863,341路、379路、夜60路
来安四街(珠江嘉园),来安四街(珠江嘉园),来安四街(珠江嘉园),BV10871156,,来安四街（珠江嘉园）,113.550479,23.201863,夜52路
莱茵汇(广百),莱茵汇(广百),莱茵汇,BV09311801,,莱茵汇,113.595923,23.528680,从10路、从11路、从12路、从9路、从夜1路
莱茵汇(广百),莱茵汇(广百),莱茵汇(广百),BV09400587,,,113.595899,23.528695,从5路长线
莱茵汇总站,莱茵汇总,莱茵汇总站,BV09356516,,莱茵汇,113.595859,23.528721,从10路、从9路
兰桂街,兰桂街,兰桂街,BV11271130,,兰桂街,113.341271,23.349911,733路
兰溪村,兰溪村,兰溪村,BV11119385,,兰溪村,113.948251,23.367593,增城67路
兰溪路口(招呼站),兰溪路口(招呼站),兰溪路口,BV10021544,,兰溪路口,113.884356,23.404018,增城17路、增城63路、增城67路
兰溪路口(招呼站),兰溪路口(招呼站),兰溪路口(招呼站),BV11409769,,,113.884303,23.404058,增城72B路
蓝山村,蓝山村,蓝山村,BV10023003,,蓝山村,113.733263,23.194764,增城14路、增城34路
蓝山村委,蓝山村委,蓝山村委,BV10024245,,蓝山村委,113.730681,23.186826,增城14路、增城34路
蓝山上坊社,蓝山上坊社,蓝山上坊社,BV11441815,,蓝山上坊社,113.731770,23.190036,增城14路
蓝天高级技校站,蓝天高级技校,蓝天高级技校站,BV09206704,,,113.647503,23.346749,增城54路
蓝田村,蓝田村,蓝田村,BV11412280,,蓝田村,113.046553,23.391849,花15路
蓝田东路,蓝田东路,蓝田东路,BV11480862,,蓝田东路,113.580744,23.548420,从18路、从3路、从3路夜班、从6路、从6路支线、从901路、从902路
蓝楹街长岗中学,蓝楹街长岗中学,蓝楹街长岗中学,BV11634515,,,113.212808,23.429709,花86路
蓝珠,蓝珠,蓝珠,BV10939052,,,113.062880,23.423210,花39路短线
蓝珠二社,蓝珠二社,蓝珠二社站,BV11407234,,蓝珠二社,113.062711,23.423276,花68路
蓝珠一社,蓝珠一社,蓝珠一社,BV11406988,,蓝珠一社,113.062533,23.430130,花39路短线、花68路
揽月路,揽月路,揽月路,BV11412829,,揽月路,113.449316,23.163727,326路、494路、496路、506路、945路
揽月路西,揽月路西,揽月路西,BV11412823,,揽月路西,113.440647,23.164181,506路、945路
榄核二中,榄核二中,榄核二中,BV09410324,,榄核二中,113.390247,22.829179,南45路、南48路、南沙65路、南沙67路、南沙G3路、番142路
榄核公交总站,榄核公交总,榄核公交总站,BV10014980,,榄核公交总站,113.331383,22.824971,307路/佛307路、南41路、南43路、南44路、南45路、南60路、南68路快线、南沙33路、南沙68路、南沙G3路
榄核派出所,榄核派出所,榄核派出所站,BV10641085,,,113.335930,22.834425,南43路、南44路、南60路
榄核涌,榄核涌,榄核涌,BV09211334,,榄核涌,113.334416,22.841085,南45路、南沙68路
榄核镇公交总站,榄核镇公交总,榄核镇公交总站,BV10742834,,,113.331228,22.824633,南沙33路
榄核镇政府,榄核镇政府,榄核镇政府站,BV10014974,,榄核镇政府,113.339681,22.840544,南44路、南45路、南60路、南沙33路、南沙G3路、南沙K7路
榄核中学站,榄核中学,榄核中学站,BV10754907,,,113.336957,22.830297,南43路、南60路
榄九路口,榄九路口,榄九路口站,BV10014922,,榄九路口,113.384901,22.842001,南45路、南48路、南沙65路、南沙67路、番142路
榄塘村,榄塘村,榄塘村,BV10408669,,,113.349250,22.977087,番30路
榄塘村委,榄塘村委,榄塘村委,BV10019912,,榄塘村委,113.349467,22.977260,番165路、番20B路、番30路
榄塘村总站,榄塘村总,榄塘村总站,BV10023245,,榄塘村总站,113.350517,22.974056,番20B路
榄元村,榄元村,榄元村,BV10018548,,榄元村,113.383131,23.195057,491路、494路、497路、564路、83路、夜100路
朗陶居,朗陶居,朗陶居,BV10020162,,朗陶居,113.359933,22.921386,番12路旅游专线、番147路、番27路
朗头村,朗头村,朗头村,BV11484178,,朗头村,113.183806,23.317696,472路、825路
朗头中街口,朗头中街口,朗头中街口,BV09069502,,朗头中街口,113.182216,23.319877,472路
朗兴路,朗兴路,朗兴路,BV09263071,,朗兴路,113.240112,23.237953,970路、夜85路
朗兴路北,朗兴路北,朗兴路北,BV09263072,,朗兴路北（大朗市场）,113.240569,23.241237,970路
塱边村,塱边村,塱边村,BV10412598,,,113.438419,22.960121,番111路
塱边村口,塱边村口,塱边村口,BV10023389,,塱边村口,113.437544,22.961904,番62路
塱边村尾,塱边村尾,塱边村尾,BV10023388,,塱边村尾（艺彩印刷园）,113.438497,22.964436,番62路
塱头村,塱头村,塱头村,BV09176953,,塱头村,113.084713,23.340810,花15B路、花15路
塱仔新村,塱仔新村,塱仔新村,BV11578752,,塱仔新村,113.592605,23.549083,从16路、从1路东线、从3路、从7路、从905路
浪拔村,浪拔村,浪拔村,BV11488228,,浪拔村,113.909445,23.487599,增城66路
浪口,浪口,浪口,BV11151772,,浪口,113.937537,23.852630,从504路、从506路
浪网大道路口,浪网大道路口,浪网大道路口,BV09204118,,,113.476684,22.627708,K981路
劳边,劳边,劳边,BV10251801,,,112.925735,23.057937,佛250路
劳教所,劳教所,劳教所,BV11466783,,劳教所,113.070284,23.379514,花15路
老干部活动中心,老干部活动中心,老干部活动中心,BV10023291,,老干部活动中心,113.355493,22.933645,番22路
老干大学,老干大学,老干大学,BV10014338,,老干大学,113.268020,23.153951,189路、190路、278路、36路、544路、546路、547路、66路、76路、810路、864路、夜32路、夜9路
老屋村,老屋村,老屋村,BV11488951,,,113.759685,23.405877,增城41路
老庄,老庄,老庄,BV10019145,,老庄,113.333112,23.227816,504路、560路、792A路、792路环线、862路、882路快线、夜74路、B6路快线、B6路
乐安街,乐安街,乐安街,BV11408222,,乐安街,113.087265,23.064443,佛250路、佛277路
乐安桥,乐安桥,乐安桥,BV10251621,,,113.087265,23.064443,佛277路
乐城,乐城,乐城,BV11688732,,乐城,113.093681,23.065262,佛250路、佛277路
乐从红星美凯龙,乐从红星美凯龙,乐从红星美凯龙,BV10252029,,乐从红星美凯龙,113.084330,22.923706,佛236路、佛K330路/K330路快线
乐从交通中心(佛山大道南),乐从交通中心(佛山大道南),乐从交通中心(佛山大道南),BV11469210,,乐从交通中心（佛山大道南）,113.085282,22.960569,佛236路
乐从交通中心(枢纽站),乐从交通中心(枢纽站),乐从交通中心(枢纽站),BV10255309,,乐从交通中心（枢纽站）,113.085438,22.959233,佛236路、佛K330路/K330路快线
乐从路口,乐从路口,乐从路口,BV10252032,,乐从路口,113.085433,22.962660,佛236路
乐得花园,乐得花园,乐得花园,BV11477133,,乐得花园,113.271046,23.225592,58路、666路、755路、793路、984路、夜119路
乐敦路口,乐敦路口,乐敦路口,BV11633457,,乐敦路口,113.315572,23.088541,464路
乐嘉路,乐嘉路,乐嘉路,BV10013704,,乐嘉路,113.253299,23.170747,268路、32路、58A路、58路、63路、752路、807A路、夜105路
乐嘉路西,乐嘉路西,乐嘉路西,BV10018304,,乐嘉路西,113.249381,23.170169,475路
乐嘉路中,乐嘉路中,乐嘉路中,BV10018303,,乐嘉路中,113.250442,23.170352,475路
乐明,乐明,乐明,BV11018295,,乐明,113.806949,23.856097,从601路
乐陶街口,乐陶街口,乐陶街口,BV10022195,,,113.251424,23.171228,475路
乐天创意园总站,乐天创意园总,乐天创意园总站,BV11225790,,乐天创意园总站,113.356212,23.149104,405路
乐同村,乐同村,乐同村,BV11688140,,乐同村,113.180945,23.425135,花10路、花30路、花75路、花76路、花7路、花9路、701路
乐羊羊路(亚运城天骄)总站,乐羊羊路(亚运城天骄)总,乐羊羊路(亚运城天骄)总站,BV09221556,,乐羊羊路（亚运城天骄）总站,113.493782,22.950064,番162B路、番162路
乐意居,乐意居,乐意居,BV09069507,,乐意居,113.352431,23.171514,218路、46路、54路、775路、高峰快线80路
乐意居花园总站,乐意居花园总,乐意居花园总站,BV10016421,1,乐意居花园总站①,113.352398,23.171089,297路
乐有汇超市,乐有汇超市,乐有汇超市,BV10961549,,,113.192023,23.076823,便民巴士4号线
勒竹新村,勒竹新村,勒竹新村,BV11689041,,勒竹新村,113.505036,23.138410,321路、337路、347路、459路、575路
礌岗地铁站,礌岗地铁,礌岗地铁站,BV10254422,,,113.150195,23.045553,佛279路
礌岗公园南门,礌岗公园南门,礌岗公园南门,BV11688743,,,113.143283,23.041368,佛232路
黎村,黎村,黎村,BV10015494,,黎村,113.116876,23.445356,花2B路、花88路、花88路短线
黎岗路口,黎岗路口,黎岗路口,BV10252409,,,113.073886,23.200442,佛244B路
黎家塘成德街口,黎家塘成德街口,黎家塘成德街口,BV09186612,,黎家塘成德街口,113.420997,23.398444,725路
黎家塘村口,黎家塘村口,黎家塘村口,BV11383325,,黎家塘村口,113.430630,23.400487,725路
黎家塘社岭街口,黎家塘社岭街口,黎家塘社岭街口,BV11383326,,黎家塘社岭街口,113.425222,23.400448,725路
黎园酒家,黎园酒家,黎园酒家,BV10961550,,,113.196271,23.077342,便民巴士4号线
礼传三街,礼传三街,礼传三街,BV10654284,,,113.197180,23.157023,790路
礼村,礼村,礼村,BV09000383,,礼村,113.308336,23.017753,288路、301A路、301路、304路、309路、562路、夜20路、夜61路、番13路、番187路、番25路、番53路、番91路、番96路
礼村东,礼村东,礼村东,BV10015056,,礼村东,113.314861,23.016809,310路、公交地铁接驳专线8路、番145路、番185路、番186路、番53路
礼岗,礼岗,礼岗1,BV09226106,1,礼岗（省口腔医院）①,113.273272,23.089449,夜22路
礼岗,礼岗,礼岗,BV10016110,2,礼岗（省口腔医院）,113.272836,23.090476,180路、186路、192路、244A路、244路、253路、530路、544路、546路、551路、59路、780路、B9路、夜103路、夜16路、夜22路、夜32路、广565路
礼岗路,礼岗路,礼岗路,BV10985057,,,113.271762,23.089099,992路
礼岗路口,礼岗路口,礼岗路口,BV10985056,,,113.269453,23.090158,992路
李伯坳,李伯坳,李伯坳,BV10636377,,李伯坳,113.508574,23.248424,345路
李家埔,李家埔,李家埔,BV09290392,,李家埔,113.507404,23.514517,从803路
李屋,李屋,李屋,BV10262679,,,113.663551,23.063102,莞609路
里汾,里汾,里汾,BV11119593,,,113.629785,23.378514,增城51路
里汾村,里汾村,里汾村,BV11632887,,里汾村,113.629564,23.378450,增城51路
里汾村委,里汾村委,里汾村委,BV11555491,,里汾村委,113.627954,23.379682,增城52路
里官路东,里官路东,里官路东,BV10889440,,,113.148432,23.206501,里07路短线/佛里07路里广快线
里官路西,里官路西,里官路西,BV11112530,,里官路西,113.108681,23.216076,佛244路、佛252路
里仁洞,里仁洞,里仁洞,BV11688082,,里仁洞,113.346621,22.991886,302路、303路、310路、987路、夜88路、番10路、番143路、番145路、番146路、番163A路、番163B路、番165路、番52路、番89路
里水城区,里水城区,里水城区,BV11251033,,,113.175980,23.217369,里14
里水客运站,里水客运,里水客运站,BV11105158,,,113.142782,23.175821,广231路
里水汽车客运站,里水汽车客运,里水汽车客运站,BV10252303,,,113.142574,23.174788,佛244路、佛里07路、广231路、沥12路、里07路、里07路高峰线
里水桥南,里水桥南,里水桥南,BV11690548,,里水桥南,113.153600,23.191924,佛244路、佛里07路、广231路、里07路、里07路高峰线
里水小学,里水小学,里水小学,BV10809070,,里水小学,113.154963,23.202607,佛252路、佛里07B路、佛里07路、里07路、里07路短线/佛里07路里广快线、里07路高峰线
里水行政服务中心,里水行政服务中心,里水行政服务中心,BV10423360,,里水行政服务中心,113.158902,23.200156,佛252路、佛里07B路、佛里07路、里07路、里07路短线/佛里07路里广快线、里07路高峰线
鲤塘村,鲤塘村,鲤塘村,BV10449609,,鲤塘村,113.011365,23.371453,花15路
力康路,力康路,力康路,BV11039030,,,113.420824,23.186896,333路
力源豪苑,力源豪苑,力源豪苑,BV11363546,,力源豪苑,113.793307,23.300458,增城3路、增城47路
历一经济社,历一经济社,历一经济社,BV09240060,,历一经济社,113.180077,23.465350,花88路、花88路短线、花89路
立德街,立德街,立德街,BV10504996,,立德街,113.400009,23.043006,番201路
立景创新科技总站,立景创新科技总,立景创新科技总站,BV09406409,,,113.577496,23.219270,永和便民01线
立新西路东,立新西路东,立新西路东,BV11471985,,立新西路东,113.782129,23.179004,增城34路、增城34路快线
丽峰路,丽峰路,丽峰路,BV10017883,,丽峰路,113.534873,23.587685,从3路
丽江花园,丽江花园,丽江花园,BV10015193,,丽江花园,113.298032,23.034807,125路、公交地铁接驳专线5路、夜28路
丽江花园正门,丽江花园正门,丽江花园正门,BV10019650,,丽江花园正门,113.302776,23.042035,122路、125路、公交地铁接驳专线5路
丽江花园总站,丽江花园总,丽江花园总站,BV10015192,,丽江花园总站,113.297877,23.034473,122路、125路、夜28路
丽江路口,丽江路口,丽江路口,BV10015195,,丽江路口,113.291147,23.039482,125路、公交地铁接驳专线5路、夜28路
丽景花园,丽景花园,丽景花园,BV10253901,,,113.259789,22.851032,314路、佛314路
丽美酒店,丽美酒店,丽美酒店,BV09313070,,丽美酒店,113.208978,23.381387,702路、夜92路、花10路、花17路联民村、花6路、花75A路、花84路
丽日商业广场,丽日商业广场,丽日商业广场,BV11186902,,,113.268180,23.100605,空港快线3线
丽水湾,丽水湾,丽水湾,BV10388698,,丽水湾（福安园）,113.311310,23.032988,番188路
丽雅苑,丽雅苑,丽雅苑,BV10251608,,丽雅苑,113.134437,23.051572,佛232路、佛276路/佛276
利达路,利达路,利达路,BV10015638,,,113.144010,23.463275,花89路
利大鞋业站,利大鞋业,利大鞋业站,BV10912605,,,113.378328,22.797733,南59路
利丰大道,利丰大道,利丰大道,BV10023436,,利丰大道,113.486275,22.983190,番92路/番92路、番93路、番93路短线
利迳村,利迳村,利迳村,BV10014832,,利迳村,113.760720,23.455901,增城15路、增城15路快线、增城16路、增城41路
利迳村委(招呼站),利迳村委(招呼站),利迳村委(招呼站),BV09209213,,利迳村委,113.762504,23.459802,增城15路
利迳村委(招呼站),利迳村委(招呼站),利迳村委,BV11624642,,利迳村委,113.762137,23.459348,增城15路、增城16路
利坑,利坑,利坑,BV11115199,,,113.558012,23.402652,从805路
利口福,利口福,利口福,BV10014325,,利口福,113.367502,23.015656,302A路、公交地铁接驳专线8路、番17路、番17路长线、番30路、番52路、番53路、番71路、番75路
利农村委,利农村委,利农村委,BV11598366,,利农村委,113.329447,23.453810,花32路
励业路口站,励业路口,励业路口站,BV10015915,,励业路口,113.459515,22.886467,37路/南37路、南34路、南35路、南36路、南48路、南52路、南57路、南沙33路、南沙38路、南沙70路、番11路、番141路
励业染厂站,励业染厂,励业染厂站,BV10018479,,,113.463614,22.902188,南50路、南52路
沥滘,沥滘,沥滘,BV11688783,,沥滘,113.311322,23.065412,180路、195路、221路、301路、35路、582路、59路、5路、70路、762路、765路、788路、82路、836路、86路、960路、987路、991路、9路、夜101路、夜34路、夜55路、582路班车
沥滘大埗头,沥滘大埗头,沥滘大埗头,BV11366953,,沥滘大埗头,113.309751,23.057581,991路、997路、夜128路、964路
沥滘大埗头总站,沥滘大埗头总,沥滘大埗头总站,BV10022783,,沥滘大埗头总站,113.309805,23.057417,765路、964路
沥滘路,沥滘路,沥滘路,BV11354485,,沥滘路,113.304612,23.057545,991路、997路、夜128路、964路
沥滘路东,沥滘路东,沥滘路东,BV09373961,,沥滘路东,113.307888,23.057417,991路、997路、夜128路、964路
沥滘路西,沥滘路西,沥滘路西,BV11366954,,沥滘路西,113.289545,23.058670,997路、夜128路、964路
沥滘路西总站,沥滘路西总,沥滘路西总站,BV11058606,,沥滘路西总站,113.288692,23.058453,766路环线、88路、夜30路
沥滘路中,沥滘路中,沥滘路中,BV09347676,,沥滘路中,113.300334,23.058126,765路、991路、997路、964路
沥滘总站,沥滘总,沥滘总站,BV10016721,,沥滘总站,113.318816,23.064505,221路、301路、59路、5路、70路、82路、836路、987路、9路、夜101路
沥口村,沥口村,沥口村,BV11336975,,沥口村,113.082472,23.063964,佛250路、佛277路、广州-肇庆
沥心沙东路,沥心沙东路,沥心沙东路,BV11576846,,,113.558147,22.662055,南沙16路
沥心沙东路口,沥心沙东路口,沥心沙东路口,BV09296032,,沥心沙东路口,113.558191,22.661978,南沙16路
沥一经济社,沥一经济社,沥一经济社,BV09274991,,,113.180185,23.465209,花88路短线
茘红路总站,茘红路总,茘红路总站,BV11491807,,,113.180507,23.387796,花70路
荔城二小,荔城二小,荔城二小,BV10020755,,荔城二小,113.829127,23.289666,增城17路、增城48路、增城5路、增城9路
荔城花园,荔城花园,荔城花园,BV10020764,,荔城花园,113.782508,23.288246,增城11路、增城12路、增城13路、增城4路
荔城街党群中心,荔城街党群中心,荔城街党群中心,BV11455883,,荔城街党群中心,113.807138,23.290044,增城47路、增城77路
荔城街道办,荔城街道办,荔城街道办,BV09400274,,荔城街道办,113.818841,23.295878,增城11路、增城12路、增城13路、增城16路、增城18路、增城5路、增城80路
荔城三中(A站),荔城三中(A站),荔城三中(A站),BV09173467,,荔城三中（A站）,113.794844,23.297691,增城3路
荔城三中(A站),荔城三中(A站),荔城三中,BV10020763,,荔城三中,113.793969,23.296706,增城11路、增城12路、增城13路、增城3路、增城4路
荔城医院,荔城医院,荔城医院,BV09302543,,荔城医院,113.825165,23.293195,增城10路、增城16路、增城1路、增城64路、增城6路、增城9路快线
荔城中学,荔城中学,荔城中学,BV10020795,,荔城中学,113.847328,23.283946,增城10路、增城3路
荔红二路,荔红二路,荔红二路站,BV10846984,,荔红二路,113.496029,23.169747,327A路、335路、337路、339路、367路、373路、388路、569路、575路、941路、B24路、夜49路、夜97路、夜98路、393路
荔红路,荔红路,荔红路,BV09232690,,荔红路（萝岗中医院）,113.506641,23.179202,337路、339路、367路、506路、569路、571A路、943路、948路、夜104路、夜49路、夜51路
荔红路口,荔红路口,荔红路口,BV10387632,,荔红路口,113.177838,23.398743,花31B路、花70路、花70路短线
