所属站,站组ID,分站名,平台ID,分站编号,车来了分站,经度,纬度,经停线路
白沙公交场站,白沙公交场站,白沙公交场站,BV10580339,,,113.202967,23.134169,
白沙公交站场,白沙公交站场,白沙公交站场,BV09128159,,,113.203115,23.134415,广789路
白沙公交总站,白沙公交总,白沙公交总站,BV10968381,,,113.203115,23.134415,佛沥18路
白沙湖,白沙湖,白沙湖,BV11688455,,白沙湖,113.254065,23.240319,21路、522路、706路、706路早间短线、807路、840路、夜80路、夜94路
白沙环村路,白沙环村路,白沙环村路,BV09265074,,白沙环村路,113.377689,23.343201,724路、827路、979路
白沙桥站(临时站),白沙桥站(临时站),白沙桥站(临时站),BV09315322,,,113.012719,23.082058,佛250路
白沙桥站(临时站),白沙桥站(临时站),白沙桥,BV10251783,,,113.013346,23.081012,佛250路
白沙商贸街,白沙商贸街,白沙商贸街,BV10018892,,白沙商贸街,113.360720,23.343179,979路
白沙社区,白沙社区,白沙社区,BV10751008,,白沙社区,113.196413,23.133981,广789路
白沙小学,白沙小学,白沙小学,BV10256189,,白沙小学,113.200187,23.132879,广789路
白沙总站,白沙总,白沙总站,BV11585800,,白沙（中海金沙湾）总站,113.201911,23.144093,42路、885路、广283路班车、广424路、广478路、广746路、广205路
白沙总站(中海金沙湾),白沙总站(中海金沙湾),白沙总站(中海金沙湾),BV10572835,,白沙（中海金沙湾）总站,113.198821,23.144041,广夜54路、广205路
白山村,白山村,白山村站,BV11400779,,白山村,113.402597,23.272422,973路
白山村广场,白山村广场#1,白山村广场,BV10019151,,白山村广场,113.324368,23.203607,747路、754路
白山村广场,白山村广场#2,白山村广场,BV09125837,,,113.402716,23.272259,帽峰山旅游专线1线
白山村居委,白山村居委,白山村居委,BV10019152,,白山村居委,113.325166,23.204960,747路
白山村尾,白山村尾,白山村尾,BV10019153,,白山村尾,113.326722,23.207280,747路
白蟮塘,白蟮塘,白蟮塘,BV11001985,,,113.264607,23.364144,夜129路、夜92路、花1路
白蟮塘北,白蟮塘北,白蟮塘北,BV11225574,,,113.263531,23.368541,花1路
白鳝塘,白鳝塘,白鳝塘,BV10015680,,白鳝塘,113.264614,23.364124,707路、711路、715路、828路、夜129路、夜92路、704路、701路
白鳝塘总站,白鳝塘总,白鳝塘总站,BV10019304,,,113.264228,23.365720,828路
白石站,白石#1,白石站,BV11317183,,白石,113.354308,23.601296,从403路
白石站,白石#2,白石站,BV09385184,,白石,113.034308,23.443886,花68路、花81路
白石岰,白石岰,白石岰,BV09017016,,,113.847792,23.728743,从602路
白石村,白石村#1,白石村,BV11352899,,白石村,113.443855,23.610161,从405路
白石村,白石村#2,白石村,BV10015417,,白石村,113.634797,23.161537,增城21路、增城29路、增城34路、增城36路、增城39路、增城9路
白石村委,白石村委,白石村委,BV11352900,,白石村委,113.447161,23.622639,从405路、从化922路
白石冚,白石冚,白石冚,BV10977095,,白石冚,113.560013,23.438975,从804路
白石市场,白石市场,白石市场,BV10016077,,白石市场,113.650009,23.156556,增城37路、增城44路
白石市场西,白石市场西,白石市场西,BV11477247,,白石市场西,113.645129,23.155810,增城20路、增城37路、增城44路
白水寨,白水寨,白水寨,BV10488791,,,113.753928,23.572886,增城16路
白水寨路口,白水寨路口,白水寨路口,BV11198738,,白水寨路口,113.753441,23.573807,从13路、从化13路、增城16路
白水寨总站,白水寨总,白水寨总站,BV10488794,,白水寨总站,113.756335,23.580845,从13路、从化13路、增城16路、旅游专线1路
白藤滘站,白藤滘,白藤滘站,BV10545654,,白藤滘,113.565952,22.800714,南53路、南沙19路、南沙62路、南沙G4路、南沙学1路、番143路
白天鹅花园,白天鹅花园,白天鹅花园,BV10253340,,,113.186562,23.131296,佛沥18路
白天鹅花园总站,白天鹅花园总,白天鹅花园总站,BV10393581,,白天鹅花园总站,113.186103,23.126052,广132路
白天鹅京溪小学,白天鹅京溪小学,白天鹅京溪小学,BV11468835,,,113.333755,23.189490,京溪2线
白田岗,白田岗,白田岗,BV10945000,,白田岗,113.576503,23.518808,从904路
白田岗村,白田岗村,白田岗村,BV10020885,,,113.576503,23.518808,从21路长线、从301路、从5路、从5路长线、从夜1路
白田岗墟,白田岗墟,白田岗墟,BV11308215,,白田岗墟,113.577200,23.518262,从21路长线、从301路
白土,白土,白土,BV10892052,,,112.937884,23.350017,655A线
白土村,白土村,白土村,BV10018913,,白土村,113.426616,23.359958,726路
白兔村路口,白兔村路口,白兔村路口1,BV11028709,1,白兔村路口①,113.433951,23.608914,从10路、从405路、从9路
白兔村路口,白兔村路口,白兔村路口2,BV11028710,2,白兔村路口②,113.429661,23.612240,从10路、从405路、从9路
白兔村桥二队,白兔村桥二队,白兔村桥二队,BV11154754,,白兔村桥二队,113.436565,23.606892,从10路、从405路、从9路
白蚬壳码头,白蚬壳码头,白蚬壳码头,BV10601612,,,113.248744,23.084133,S9白蚬壳-白鹤洞航线
白象岭,白象岭,白象岭,BV10018763,,白象岭,113.245175,23.290791,652路、843路、夜129路
白云宾馆,白云宾馆,白云宾馆2,BV09226118,2,白云宾馆2,113.282851,23.138602,125路、191路、220路、233路、245路、6路、833路、862路、夜14路、夜15路、夜25路、夜41路、夜56路、夜5路、夜77路、夜88路、夜89路
白云宾馆,白云宾馆,白云宾馆,BV11009137,4,白云宾馆4,113.283296,23.138517,10路、189路、225路、247路、278路、280路、301A路、482路、545路、546路、63路、810路、833路、886路、B2A路、B2路、夜105路、夜4路
白云大道北地铁站,白云大道北地铁,白云大道北地铁站,BV09078083,,白云大道北地铁站,113.292362,23.223717,667路、798路
白云大道南(金信路口),白云大道南(金信路口),白云大道南(金信路口),BV11527801,,白云大道南（金信路口）,113.271562,23.178461,175路、223路、245路、265路、36路、38路、706路、795路、864路、B18路
白云高尔夫花园总站,白云高尔夫花园总,白云高尔夫花园总站,BV10022594,,白云高尔夫花园总站,113.264923,23.206114,810路
白云湖公园北门,白云湖公园北门,白云湖公园北门,BV09242691,,白云湖公园北门,113.235653,23.237236,970路、夜85路
白云湖公园西湖北门,白云湖公园西湖北门,白云湖公园西湖北门,BV11413327,,白云湖公园西湖北门,113.221024,23.235055,夜117路
白云花园,白云花园,白云花园,BV11678022,,白云花园,113.287030,23.218308,755路
白云花园总站,白云花园总,白云花园总站,BV10016927,,白云花园总站,113.287874,23.217719,223路、268路、831路
白云货运站,白云货运,白云货运站,BV10323065,,白云货运站,113.333661,23.298123,563路、828路、夜76路
白云机场1号航站楼(25号门),白云机场1号航站楼(25号门),白云机场1号航站楼(25号门),BV09073370,,,113.298897,23.389608,708路、夜106路
白云机场一号航站楼(25号门),白云机场一号航站楼(25号门),白云机场一号航站楼(25号门),BV09136241,,,113.298569,23.389662,708路
白云机场T1航站楼,白云机场T1航站楼,白云机场T1航站楼,BV11172126,,,113.298134,23.389739,机场快线7A线、机场快线7B线、机场快线7号C线
白云机场T1航站楼A区,白云机场T1航站楼A区,白云机场T1航站楼A区,BV11430831,,,113.300367,23.391166,机场快线7B线、机场快线7号C线
白云机场T1航站楼B区,白云机场T1航站楼B区,白云机场T1航站楼B区,BV11431045,,,113.296263,23.391891,机场快线7B线、机场快线7号C线、空港快线2号线、空港快线2线、空港快线3线
白云机场T1A区4号门外4号位,白云机场T1A区4号门外4号位,白云机场T1A区4号门外4号位,BV09238730,,,113.299593,23.388552,空港快线3线
白云机场T1A区到达大厅,白云机场T1A区到达大厅,白云机场T1A区到达大厅,BV11315202,,,113.300625,23.391170,空港快线2号线夜班
白云机场T1B区到达大厅,白云机场T1B区到达大厅,白云机场T1B区到达大厅,BV11315196,,,113.296263,23.391891,空港快线2号线夜班
白云机场T2航站楼,白云机场T2航站楼,白云机场T2航站楼,BV09002128,,,113.299589,23.398611,机场快线7A线、机场快线7B线、机场快线7号C线、空港快线2号线、空港快线2线、空港快线3线
白云机场T2西客运站,白云机场T2西客运,白云机场T2西客运站,BV11315199,,,113.298120,23.397782,空港快线2号线夜班
白云空港商务区,白云空港商务区,白云空港商务区,BV11577041,,白云空港商务区,113.288222,23.373582,空港1路
白云路,白云路,白云路,BV11688476,2,白云路②,113.275620,23.119363,125路、184路、192路、194路、264路、36路、7路、80路、夜12路、夜16路、广12路
白云路东,白云路东,白云路东,BV11687926,,白云路东,113.280001,23.122528,192路、211路、223路、264路、299路、35路、541路、542路、546路、548路、864路、91路、夜16路、夜39路、夜4路、夜93路、101路、104路
白云路总站,白云路总,白云路1,BV09376615,1,白云路①,113.277082,23.120917,264路、35路、502路、541路、54路、夜16路、夜39路、101路、104路
白云路总站,白云路总,白云路总站,BV10016236,3,白云路总站③,113.278085,23.121891,223路、4路、519路、夜107路
白云农批市场,白云农批市场,白云农批市场,BV10013964,,白云农批市场,113.332068,23.193590,201路、246路、502路、791路、804路、884路、241路
白云区气象局,白云区气象局,白云区气象局,BV11662480,,白云区气象局,113.252556,23.268082,796路
白云区图书馆,白云区图书馆,白云区图书馆,BV09162722,,,113.273752,23.205759,云山红色研学巴士1号线
白云区医院,白云区医院,白云区医院,BV10013971,,,113.308742,23.150062,504路、841路、884路、夜35路、高峰快线35路
白云区政务中心,白云区政务中心,白云区政务中心,BV09000545,2,白云区政务中心（地铁乐嘉路站）②,113.254353,23.177023,244A路、244路、251路、268路、280路、298路、32路、475路、702路、807路、810路、886路、夜35路、夜95路、广424路、空港快线2号线夜班、高速专线2路
白云区政务中心,白云区政务中心,白云区政务中心1,BV09172232,1,白云区政务中心（地铁乐嘉路站）②,113.254353,23.177023,244A路、244路、254路、268路、271路、58A路、58路、807A路、夜107路、夜122路、夜22路、夜95路
白云区政务中心,白云区政务中心,白云区政务中心2,BV09226078,2,白云区政务中心（地铁乐嘉路站）②,113.254739,23.174079,251路、523A路、702路、752路、807A路、807路、810路、高速专线2路
白云山管理局,白云山管理局,白云山管理局2,BV09329720,2,白云山管理局②,113.284312,23.157106,223路、245路、24路、298路、32路、46路、540路、63路、B18路、夜35路
白云山管理局,白云山管理局,白云山管理局,BV10013651,1,白云山管理局,113.284557,23.156976,175路、179路、199路、223路、245路、24路、298路、32路、46路、540路、63路、夜35路
白云山西门,白云山西门,白云山西门,BV11507216,,白云山西门,113.280858,23.198946,广424路
白云山制药厂(后山宿舍),白云山制药厂(后山宿舍),白云山制药厂,BV10016352,,白云山制药厂,113.314318,23.210720,126路、136路、792A路、804路、832路、833路、864路、夜90路、夜95路
白云山制药厂(后山宿舍),白云山制药厂(后山宿舍),白云山制药厂(后山宿舍),BV11401180,,白云山制药厂（后山宿舍）,113.314060,23.211023,126路、792A路、804路、832路、833路、864路、夜90路、夜95路
白云山制药厂总站,白云山制药厂总,白云山制药厂总站,BV10014380,,白云山制药厂总站,113.318268,23.203833,179路、832路、836路、83路、864路、夜24路
白云山中药厂,白云山中药厂,白云山中药厂,BV10019228,,白云山中药厂,113.332622,23.198695,246路、791路
白云社会福利服务中心,白云社会福利服务中心,白云社会福利服务中心,BV10649586,,白云社会福利服务中心,113.353106,23.323604,724路、976路
白云索道,白云索道,白云索道,BV11688415,,白云索道,113.286957,23.157429,245路、大学城专线1路、高峰快线21路、高峰快线80路
白云文化广场总站,白云文化广场总,白云文化广场总站,BV10021204,,白云文化广场总站,113.268768,23.193814,522路、555路、广424路
白云仙馆,白云仙馆,白云仙馆,BV10013649,,白云仙馆,113.285169,23.154079,245路、63路、旅游公交1线
白云学院,白云学院,白云学院,BV09012411,,白云学院,113.208386,23.274782,474路、523路、523路快线、654路、723路、837路、843路、977路
百晟汇翠湾(招呼站),百晟汇翠湾(招呼站),百晟汇翠湾(招呼站),BV09305526,,,113.820974,23.311138,旅游专线1路
百晟汇翠湾(招呼站),百晟汇翠湾(招呼站),百晟汇翠湾,BV11119341,,百晟汇翠湾,113.820974,23.311138,增城15路快线、增城16路、增城48路、增城5路
百鹤路口,百鹤路口,百鹤路口,BV09403755,,百鹤路口,113.217929,23.093874,965路
百湖村,百湖村,百湖村,BV10015985,,百湖村,113.657170,23.201444,增城12路、增城36路
百花古寺,百花古寺,百花古寺,BV09239832,,百花古寺,113.635650,23.195115,增城40路
百花岭北街,百花岭北街,百花岭北街,BV11477134,,百花岭北街,113.267521,23.240049,755路、978路、夜63路
百花岭北街口,百花岭北街口,百花岭北街口,BV11477135,,百花岭北街口,113.269515,23.234914,755路、978路、夜63路
百花路,百花路,百花路,BV10017962,,百花路,113.224407,23.097752,193路、411路、780路
百花路口,百花路口,百花路口,BV10679135,,百花路口,113.219899,23.096146,965路
百花山庄,百花山庄,百花山庄,BV11363549,,百花山庄,113.791429,23.313309,增城3路、增城47路
百乐门食街,百乐门食街,百乐门食街,BV10023232,,百乐门食街,113.307532,23.032439,番188路
百亩园,百亩园,百亩园,BV11465423,,百亩园,113.194763,23.062703,452路
百年光电厂站,百年光电厂,百年光电厂站,BV10382350,,,113.384690,22.797287,南46路
百稔庄,百稔庄,百稔庄,BV11295051,,百稔庄,113.279790,23.295847,753路
百寿南路,百寿南路,百寿南路,BV10015556,,百寿南路,113.232590,23.406247,19路直达快线、花25路
百顺北路,百顺北路,百顺北路,BV11482221,,百顺北路,113.289687,23.238590,539路、656路、663路、665路、671路、799路、924路、夜62路
百顺北路(岭南新世界)总站,百顺北路(岭南新世界)总,百顺北路(岭南新世界)总站,BV09245159,,百顺北路（岭南新世界）总站,113.288773,23.238516,665路、743路
百顺北路总站,百顺北路总,百顺北路总站,BV11655931,,百顺北路（岭南新世界）总站,113.287490,23.237838,425路、665路、76路、743路
