站点名,经停线路数
广大生活区,12
广船,12
开创大道中(南方物流),12
开发区医院,12
新华市场,12
星光汇摩登百货,12
木壳岭,12
桥东,12
梅园新村,12
槎头,12
河东广场,12
海珠客运站总站,12
海珠广场(侨光东),12
滘口客运站总站,12
犀牛路口,12
珠村,12
番禺中心医院总站,12
百顺南路,12
盐步路口,12
省第二中医院,12
石岗村(亚运大道)站,12
石槎路中,12
磨碟沙,12
科甲水,12
站前路北,12
维多利广场,12
聚龙工业区,12
花地大道(海南村),12
茶漖小区,12
西门口(人民北路),12
解放南路口,12
软件路,12
边防指挥学校,12
金山谷花园,12
雅瑶医院,12
雅瑶市场,12
骏业路口,12
鸡颈坑,12
黄埔区图书馆(香雪馆),12
龙珠路东,12
万福东,11
万福路,11
东方名都,11
东漖怀宁坊,11
东漖街,11
中新地铁站,11
云山中学(龙珠路),11
人民中路,11
人民北路,11
伍仙桥,11
体育花园,11
供电局,11
元岗横路,11
光明北路,11
兴华路口,11
农校职中,11
冼村路北,11
凌塘村,11
华农大正门,11
华工大,11
华甫村,11
友谊路,11
嘉禾长湴,11
地铁太平站,11
地铁钟落潭站,11
地铁长平站,11
城西花园,11
基立村,11
大华市场,11
大岗中心小学站,11
大岗派出所,11
大江路口,11
天平架总站,11
天源路中,11
太和中路,11
太石工业区,11
崇和花园,11
市政园林局,11
平沙,11
广东药学院,11
广东软件园,11
广州体育馆南门,11
广州大道中,11
新华街道办,11
新塘公园,11
望岗大道,11
林乐路,11
永泰新村,11
永泰新村口,11
汇景大道,11
渔尾大桥东,11
燕子岗,11
猎德大道北,11
环洲三路西,11
珠江桥脚,11
琶洲塔,11
白云路,11
真光中学,11
科学院,11
科学院地化所,11
科韵路中,11
站前路中,11
绿庭雅苑,11
群星花园,11
联桂北,11
芳园路口,11
芳村西塱总站,11
荔红路,11
莲溪,11
萝坎村,11
萝岗香雪总站,11
萝峰小学,11
萝峰村口,11
西场立交,11
解放北路,11
财厅,11
起义路,11
车辆厂技校,11
金洲站,11
钟村市场,11
锦绣文化中心,11
锦绣香江,11
高普路天盈路口,11
黄埔低空经济创新中心,11
黄编牌坊,11
黄边北路,11
黄阁地铁站,11
龙归华侨医院,11
龙洞牌坊,11
龙美村(迎新路),11
万宝工业基地,10
东华西路,10
东湖路,10
丰盈路口,10
云景花园,10
云霄路,10
五山学生公寓,10
京溪路,10
京溪路口,10
从化汽车站,10
傍雁路中站,10
先烈南路口,10
光大花园,10
冼村路中,10
北山,10
华工,10
华工生活区,10
地铁小坪站,10
地铁竹料站,10
均和墟,10
塘坑村,10
塘步东,10
大松岗,10
大策,10
天字码头,10
天府路口,10
天鹅花园,10
太和总站,10
岭南学院,10
广大,10
广惠高速路口,10
广汕路(科景路口),10
广虎站,10
庆丰,10
建设北路中,10
建设南路,10
开创大道(时代天境),10
开发区管委会,10
开泰大道(东荟城),10
开泰大道(瑞和路口),10
新丰路口站(永顺大道),10
新塘汽车客运站,10
新塘站公交总站,10
新庄二路,10
新科工业区,10
新鸿花园,10
星海中学(光明北路),10
星海学院,10
柯子岭牌坊,10
棠澍小学,10
榄核公交总站,10
永泰广场,10
汇侨南路,10
江人路,10
沙湾古镇南门,10
沥滘总站,10
泮塘,10
派潭客运站,10
派潭市场,10
消防总队,10
清湖村口,10
玉树新村口,10
白云大道南(金信路口),10
穗盐路,10
羌洞站,10
花地大道南,10
茶滘路,10
草场工业区,10
荔湾湖公园西门,10
萝格路口,10
蕉门河社区服务中心站,10
西丽桥南,10
西丽路,10
西站,10
贤江西,10
赤岗塔,10
金岭南路口,10
钟村,10
钟落潭(大钟),10
钻汇广场西门,10
长兴路口,10
长岭居小学,10
长岭路,10
集贤苑教师新村,10
集贤苑路口,10
风神花园,10
高地街,10
高普路软件路口,10
鹤洞东,10
鹤龙四路(龙兴西路口),10
黄埔军校小学,10
黄边,10
龙归墟,10
龙河路口,10
105新地广场,9
七星岗路口,9
万科府前花园北门,9
万达广场西,9
三东大道西,9
东区市场,9
东圃,9
东圃石溪村,9
东平村钟屋路口,9
东平路口,9
东涌吉祥路站,9
东涌湖公交总站,9
东湾村站,9
东漖北路,9
东站汽车客运站,9
中环西路,9
二汽石滩客运站,9
云埔工业区,9
云星村,9
五羊邨,9
京广协同创新中心站,9
伟伦体校,9
体育公园,9
光明车站,9
兴南大道(南草堂),9
凤院路口,9
凰岗路口,9
利口福,9
化龙车站,9
华师附中新世界学校,9
南关,9
南华中,9
南山公园,9
南岗总站,9
南洲名苑北,9
南海神庙,9
南湖乐园,9
南湖半山,9
南田西,9
南田路,9
南草堂,9
友谊大厦,9
双岗村口,9
吉山幼儿园,9
员村二横路,9
嘉禾,9
四角围,9
地铁南沙客运港站,9
地铁新造站,9
地铁旺村站,9
地铁柯木塱站,9
地铁白云东平站,9
地铁萝岗站,9
地铁金峰站,9
地铁长寿路站,9
地铁高塘石站,9
地铁龙洞站,9
坪山,9
增城广场东(临时站),9
增槎路北,9
大元帅府,9
大塘路口,9
大沙新村东街口,9
大沙村,9
大沙村东,9
大石桥北,9
大金钟路,9
天河公交场总站,9
太和(谢家庄),9
太阳城,9
官堂万达,9
客轮船厂,9
岑村,9
岭头,9
岭头东,9
岭头新村,9
市动物卫生监督所,9
市干部健康管理中心站,9
市桥街道办,9
广州大桥底,9
广州电大麓湖校区,9
广工,9
广纸路,9
广美生活区,9
府前路南,9
建设大道中(国昌广场),9
开创大道(香雪山南),9
开发区加速器产业园区,9
心谊路,9
执信中学,9
救捞局,9
文冲(石化路南),9
斯文井,9
新世界大厦,9
新世纪广场,9
新中医院,9
新华工业区,9
新城广场,9
新塘万达广场,9
新塘供电所,9
新塘广场,9
新滘东路东,9
新聚福,9
昌利工业城站,9
昌岗西路,9
明珠新村,9
晓港中马路,9
机场路总站,9
杨屋,9
桥中中路南,9
棠东牌坊,9
棠安路(棠德西路口),9
棠德南路,9
民政局,9
永和大道中,9
永和开发区,9
永福路,9
江南西路,9
江村大桥北,9
江村大桥南,9
江燕花园(地铁江泰路站),9
沙河大街,9
沙河顶,9
沙湾南村,9
泰安花园,9
海珠桥底,9
清河中路,9
湖天货运站,9
瀛洲路口,9
火村(法雨寺),9
班岭村,9
白云山制药厂(后山宿舍),9
皮革城,9
省中医院大学城医院,9
省旅游学校,9
石井(广东兵工厂旧址)站,9
石壁路口(汉溪大道中),9
石桥新村,9
科学信息大厦,9
科学大道,9
科学大道中,9
科学大道西,9
竹仔园,9
罗冲围总站(松南路),9
老庄,9
良田路口,9
花城大道(华穗路口),9
苗圃,9
荔新路口(新塘),9
荟贤路北,9
荷景花园,9
荷棠下村,9
蔡新路口站,9
行云街,9
西华路尾,9
解放北路口,9
贤江公园站,9
赤坭,9
赤沙牌坊,9
车陂高架桥侧,9
较场西路,9
钟落潭路口,9
锦绣新天地,9
锦绣香江北门,9
长湴市场,9
长红,9
长隆野生动物园站,9
雅荷居,9
骏壹万邦,9
高塘工业区,9
麓景路,9
麦村,9
黄埔新港,9
黄村西路,9
黄阁大道中站,9
龙津中路,9
七星路口,8
三九脑科医院,8
三元里古庙,8
下渡路口,8
东堤,8
东旺市场,8
中信乐涛苑,8
中国电信,8
中大,8
中环东路,8
丰泰小区路口,8
乌石湾站,8
乐嘉路,8
二汽客运站,8
云信路,8
云信路北,8
云城东路(云城南二路口),8
云城西路中,8
云埔工业区口,8
云山诗意,8
从化五中,8
仑头立交,8
体育馆,8
元岗路(南兴花园),8
兴盛路口,8
创业路口,8
加庄,8
华商学院,8
华师,8
华贵路,8
南奥实验学校,8
南方医科大学,8
南洲北路,8
南洲路,8
南浦村,8
南湾,8
卷烟一厂,8
双岗,8
同和榕树头,8
同福中,8
同福西,8
吕田客运站总站,8
和平西,8
圆玄小学,8
地铁员岗站,8
地铁天河智慧城站,8
地铁石潭站,8
地铁石碁站,8
地铁钟村站,8
均和东,8
均禾大道中,8
增江市场,8
外语外贸大学(公开学院),8
大基头,8
大塘总站,8
大塱,8
大布路口,8
大沥城区南,8
大运公司,8
大运公寓,8
大龙居委,8
太古仓,8
奥园城市天地总站,8
官堂东,8
富庭花园,8
富怡苑,8
岗丰村,8
岗贝村,8
岭南,8
市一医院,8
广东行政职业学院,8
广中码头,8
广从路(均禾大道口),8
广外附设外语学校,8
广州外国语学校,8
广州海关车检场,8
广州白云站西广场,8
广州老年大学(九十七中学),8
广州雅居乐,8
广播电视台,8
广本厂,8
广汕一路东,8
广汕二路,8
广花五路路口,8
庙头,8
康南路口,8
开创大道(广汕路口),8
开创大道立交,8
开泰大道(科丰路口),8
开萝大道(地铁香雪站),8
张村(石潭西路),8
彩频路,8
悦顺装饰材料城,8
敏捷集团,8
文德南,8
新丰路(布岭村),8
新塘三中,8
新安路(摇田河大街口),8
新康花园,8
新滘东立交,8
新科,8
新造公园,8
新造医院,8
星之光电器城,8
柯木塱,8
槎头(西槎路),8
正果车站,8
步漖村,8
汉溪路口,8
江南大道口,8
江南路站,8
江村墟,8
汽车城地铁站(鸡谷山路),8
沙塱村,8
沙村地铁站,8
沙面新城,8
流花公园,8
燕翔路,8
狮岭大道西,8
猛涌,8
珠吉公路,8
珠村路,8
珠江中学,8
珠江中路站,8
珠江帝景苑总站,8
瑞和路北(开泰大道口),8
白云学院,8
白沙村,8
白沙湖,8
白鳝塘,8
百顺北路,8
盈丰路,8
省电校,8
知识城南总站,8
石井文化广场(石丰路),8
石基村(市南路),8
石槎路(地铁聚龙站),8
石潭西路北,8
石碁文化广场,8
石马南,8
磨碟沙路,8
神山商贸城,8
禺山大道西,8
科丰路南,8
科学大道(揽月路路口),8
站南路,8
绿色长廊,8
置业花园(1978南门),8
联星西华站,8
聚德西路口,8
育贤路口,8
花地湾地铁站,8
花都广场,8
花都广场(地铁A出口),8
芳村大道西总站,8
芳村花园北门,8
茅岗,8
草芳围,8
西坑(益民服装城),8
西苑,8
谢村,8
赤坭医院,8
赤岗路,8
车陂路口,8
陈戴巷,8
陈边村,8
雅居乐锦城花园,8
颐和山庄,8
风神厂,8
马房三街,8
高塘石东,8
黄埔港,8
黄村立交,8
黄村路口,8
黄阁中学,8
三角市,7
上坭村站,7
东城市场,7
东明二路,7
东沙,7
东涌东丫村,7
东涌中学站,7
东涌村(工业路),7
东涌镇政府站,7
中山大学附属第一(南沙)医院,7
中海广场西,7
中海誉城总站,7
中环路,7
丰乐路,7
丰岗,7
丽美酒店,7
义沙村,7
乐同村,7
九龙镇政府总站,7
云城东路北,7
云城东路南,7
云城南二路,7
云城西路(云城南四路口),7
云山诗意,7
云星村,7
亨威公司,7
今洲广场站,7
仙村路口,7
何仙姑,7
侨乐新村,7
傍雁路临时公交总站,7
光宝路口,7
光谱西路,7
光谱西路(神舟路路口),7
光谱西路中,7
公园前,7
公安车管所,7
凰岗总站,7
刘家沙,7
北京路口,7
十九路军陵园,7
华严寺,7
华南新城,7
华景北路,7
华景新城总站,7
华汇广场站,7
华沙村,7
华辉度假村,7
南区公园(福德路),7
南华工商学院,7
南华路,7
南国奥园,7
南大干线(塘埗西),7
南村,7
南沙小学站,7
南沙碧桂园站,7
南沙街道办事处站,7
南洲花园,7
南浦三桥南,7
南门,7
合成,7
吉山小学,7
吉祥路,7
同德乡(地铁同德站)站,7
员岗,7
员村二横路南,7
员村生活区(中山六院),7
和平中,7
嘉禾望岗公交枢纽站,7
圆玄道观,7
地铁东风站,7
地铁南浦站,7
地铁大涌站,7
地铁海傍站,7
地铁知识城站,7
地铁神岗站,7
地铁科韵路站,7
地铁苏元站(暹岗圣贤),7
地铁飞翔公园站,7
地铁飞翔公园站总站,7
地铁黄陂站,7
坦头村站,7
培贤路口,7
塘步西,7
增南路口,7
墩涌,7
夏花一路,7
多宝路(广医三院),7
大塘边,7
大夫山北门,7
大岗医院站,7
大淋岗村,7
大稳村,7
大观北路(广汕路口),7
大观路,7
天坤三路,7
天府路,7
天河儿童公园,7
天河公园,7
天鹿小区,7
太子广场,7
太平小学,7
太营路,7
奥园中环广场站,7
如意路,7
安顺村,7
宝岗大道总站,7
宝田加油站,7
宝盛广场,7
宣星路口(星光五金水电商场),7
小洲村口,7
山田地铁站,7
山田村,7
平安,7
广东工贸职业技术学院,7
广园西路,7
广外(白云山西门),7
广州大道南路口,7
广州本田公司,7
广州白云站东广场,7
广州碧桂园,7
广氮花园南,7
府前路中,7
开发区管委会,7
护林路中,7
捷普电子厂,7
接龙里,7
政务服务中心,7
新庄二路(新安路口),7
旗岭,7
旗岭市场,7
日发市场,7
晓港湾(盈丰路),7
杨青村,7
档案馆路(中部枢纽),7
桥中中路,7
横江,7
横沥中学,7
横沥医院,7
横沥派出所,7
横沥镇政府,7
毕村,7
毕村桥,7
水南村,7
水荫路,7
永兴村口,7
永和中队,7
永和派出所,7
汇彩路,7
江河路,7
沙浦,7
河东南路中,7
河东市场,7
河滨公园,7
沿江东路,7
泗沥,7
浔峰山东路,7
海关联检中心站,7
海力花园站,7
海幢寺,7
海涌路口(市莲路),7
温泉镇政府,7
湴湖,7
溢盈广场,7
滨海花园,7
潮汕学院,7
灵山医院站,7
牛步迳,7
玉岩路南,7
珠光御景站,7
珠江宾馆,7
珠江电厂站,7
珠江钢琴,7
瘦狗岭,7
白云农批市场,7
白沙总站,7
盐步大道北,7
省戒毒基地,7
省银行医院,7
石楼牌坊,7
石溪村口,7
祈丰路站,7
祈福水城,7
神岗中学,7
神岗墟,7
祥和路口,7
秀雅学校,7
秋鹿路,7
科学广场,7
程界西(地铁员村站),7
税务所,7
空港大道,7
空港大道中,7
童心南,7
纵一路,7
纸厂邮局,7
联和路口,7
联安,7
良口墟总站,7
花东市场,7
花城大道东,7
花山镇政府,7
花蕾路,7
茅岗路口,7
荔城街道办,7
莲花山交警中队,7
莲花山港,7
蓝田东路,7
虎榜路口,7
西宁中路,7
贤江,7
赤坭小学,7
赤坭影都,7
赤岗(江海大道),7
赤沙总站,7
赤沙路西,7
赵溪路口,7
起义路口,7
达道路,7
进港大道中站,7
金岭北路站,7
金岭南路站,7
金沙南路,7
金沙洲(涛乐街)总站,7
钟村小学,7
锦城花园总站(东风东),7
锦绣生态园,7
长兴路东,7
长岗小学,7
长岗村委,7
雅居乐(凤凰路),7
雅居蓝湾,7
顺龙厂,7
飘峰,7
马鞍山公园西门,7
鹤边,7
黄埔低空经济创新中心总站,7
黄埔体育中心总站,7
黄埔村,7
黄村康体路,7
黄边北路口,7
龙光棕榈水岸,7
龙兴西路,7
龙兴西路西,7
龙津东路,7
一德东,6
一德中,6
一德西,6
万科天景花园,6
三东小学,6
三凤村,6
三姓围站,6
东乡村,6
东乡村东,6
东乡村西,6
东兴市场,6
东区市场,6
东捷路,6
东沙大道南,6
东涌医院,6
东湖安置区,6
东湖新村,6
东福百货广场,6
东镜路口,6
东风体育公园,6
中新车站,6
中部枢纽,6
乐得花园,6
九湖村,6
二沙东,6
二沙西,6
二湾路口(大岗供电所)站,6
云港路,6
五丫口大桥东,6
交警温泉中队,6
人和华成路东,6
人和华成路中,6
傍江西村,6
光明南路,6
六榕路,6
兴业大道中,6
兴东路,6
兴泰路,6
凤院北,6
北亭村大街,6
华兴综合市场,6
华商职业学院,6
华盛南路,6
南北台站,6
南山丰景花园,6
南悦花苑,6
南悦花苑总站,6
南方医院增城分院,6
南方医院江高院区,6
南沙世贸中心大厦站,6
南沙中心医院西门站,6
南洋理工职业学院,6
南浦岛总站,6
南涌口村,6
叠翠峰西门,6
吉山新路街,6
同康路,6
同康路东,6
名幸站,6
启学路,6
员村一横路总站,6
员村西街,6
嘉怡花园,6
嘉裕花园站,6
团结路口,6
地铁三元里站(C1出口),6
地铁三元里站(C2出口),6
