合并站名,站组ID,原始分站名,站点ID,经度,纬度
文边小学,文边小学,文边小学,BV10020053,113.410168,22.979894
文边工业区,文边工业区,文边工业区,BV10019986,113.411019,22.978173
文边村,文边村,文边村,BV10019987,113.406312,22.980689
文锋东路,文锋东路,文锋东路,BV10251907,112.888227,23.159253
文阁,文阁,文阁,BV11115117,113.532407,23.431012
斗塘路东,斗塘路东,斗塘路东,BV11484696,113.568442,23.208871
斗塘路西,斗塘路西,斗塘路西,BV11483396,113.557281,23.208309
斗岗村,斗岗村,斗岗村,BV11119538,113.728953,23.488334
斗朗社区,斗朗社区,斗朗社区,BV11217546,113.640484,23.09674
斯庄村,斯庄村,斯庄村,BV10015374,113.686917,23.243448
斯文井,斯文井,斯文井,BV10019149,113.323976,23.216451
斯迳路(腰坑水库),斯迳路(腰坑水库),斯迳路(腰坑水库),BV10382330,113.549085,23.357384
斯迳路(腰坑水库),斯迳路(腰坑水库),斯迳路,BV10382329,113.55142,23.357128
新三涌,新三涌,新三涌,BV10434959,113.638804,23.037745
新三路口,新三路口,新三路口,BV11352947,113.424999,23.558896
新世界大厦,新世界大厦,新世界大厦,BV10019845,113.3574,22.942683
新世界大厦A,新世界大厦A,新世界大厦A,BV11151535,113.357339,22.942863
新世界大厦B,新世界大厦B,新世界大厦B,BV10408191,113.356982,22.942893
新世纪广场,新世纪广场#1,新世纪广场,BV11689059,113.583355,23.550961
新世纪广场,新世纪广场#2,新世纪广场站,BV11689060,113.204741,23.38098
新世纪广场东,新世纪广场东,新世纪广场东,BV09410386,113.208187,23.383195
新世纪花园,新世纪花园,新世纪花园,BV10023258,113.357805,22.925092
新世纪豪园西,新世纪豪园西,新世纪豪园西,BV10262528,113.75821,23.012351
新业路,新业路,新业路,BV10014491,113.563682,23.200539
新业路(摇田河大街),新业路(摇田河大街),新业路(摇田河大街),BV10486971,113.562769,23.197688
新业路中,新业路中,新业路中,BV09319544,113.563526,23.203056
新业路北(斗塘路口),新业路北(斗塘路口),新业路北(斗塘路口),BV10014482,113.562246,23.207381
新中医院,新中医院#1,新中医院,BV10464006,112.884095,23.163896
新中医院,新中医院#2,新中医院,BV11119400,113.815161,23.282278
新中心区南,新中心区南,新中心区南,BV10673372,113.579182,23.025959
新丰路(布岭村),新丰路(布岭村),新丰路(布岭村)站,BV09368639,113.548541,23.209254
新丰路中(禾丰新村),新丰路中(禾丰新村),新丰路中(禾丰新村),BV11445252,113.550547,23.213579
新丰路中(禾丰新村),新丰路中(禾丰新村),新丰路中,BV11630343,113.550547,23.213579
新丰路口站(永顺大道),新丰路口站(永顺大道),新丰路口站,BV11688330,113.54277,23.202401
新丰路口站(永顺大道),新丰路口站(永顺大道),新丰路口2,BV09209215,113.544863,23.202181
新丰路口站(永顺大道),新丰路口站(永顺大道),新丰路口站(永顺大道),BV09287310,113.543282,23.202002
新丰路口站(永顺大道),新丰路口站(永顺大道),新丰路口1,BV09235566,113.543282,23.202002
新丽路,新丽路,新丽路,BV10018584,113.18337,23.073046
新乐路,新乐路,新乐路,BV10017360,113.463145,23.162148
新乐路口,新乐路口,新乐路口,BV11619526,113.466593,23.164685
新光快速,新光快速,新光快速,BV09303449,113.34473,22.981744
新兴村卫生站,新兴村卫生,新兴村卫生站,BV09358615,113.467539,22.745036
新兴村委总站,新兴村委总,新兴村委总站,BV11324534,113.475713,22.738018
新兴村站,新兴村,新兴村站,BV10016666,113.457845,22.74049
新兴路,新兴路,新兴路,BV11393828,113.50904,23.449545
新兴路口,新兴路口,新兴路口,BV10545420,113.151441,23.204719
新凌路(凌边村),新凌路(凌边村),新凌路(凌边村),BV09278676,113.428722,22.979933
新华中学,新华中学,新华中学站,BV09404941,113.213006,23.382229
新华工业区,新华工业区,新华工业区2,BV11554334,113.164694,23.399733
新华工业区,新华工业区,新华工业区1,BV11547976,113.167947,23.399875
新华工业区,新华工业区,新华工业区,BV09206741,113.168198,23.399719
新华市场,新华市场,新华市场,BV09133871,113.203977,23.378973
新华影院,新华影院,新华影院,BV10435175,113.204242,23.375927
新华站,新华,新华站,BV11115230,113.616592,23.594484
新华街道办,新华街道办,新华街道办,BV09001426,113.208041,23.372538
新南村,新南村,新南村,BV10017623,113.489431,23.380459
