合并站名,站组ID,原始分站名,站点ID,经度,纬度
教师村,教师村,教师村,BV11359296,113.661598,23.60417
教思亭,教思亭,教思亭,BV09314414,113.416812,23.081751
教育路南,教育路南,教育路南,BV09241713,113.260622,23.125073
教育路口,教育路口,教育路口,BV10251770,113.187,23.139067
散围总站,散围总,散围总站,BV09221291,113.790069,23.686339
敦和,敦和,敦和,BV11687930,113.310112,23.093867
敦和,敦和,敦和2,BV09406264,113.31031,23.09421
敦和,敦和,敦和3,BV09026856,113.310118,23.093795
敦和街口,敦和街口,敦和街口,BV10724674,113.309747,23.093036
敦和路,敦和路,敦和路,BV10724676,113.305536,23.096777
敦和路中,敦和路中,敦和路中,BV10724675,113.307041,23.093802
敬业路,敬业路,敬业路,BV11535653,113.470972,23.109311
文一,文一,文一,BV10742885,113.064161,23.264352
文冲(石化路南),文冲(石化路南),文冲(石化路南),BV09335059,113.463054,23.105249
文冲地铁D出口,文冲地铁D出口,文冲地铁D出口,BV11535655,113.462012,23.106979
文冲市场,文冲市场,文冲市场,BV11545641,113.462008,23.106954
文冲幸福里,文冲幸福里,文冲幸福里站,BV09335053,113.462008,23.106954
文冲社区,文冲社区,文冲社区,BV10942229,113.458927,23.103659
文冲街党群服务中心站,文冲街党群服务中心,文冲街党群服务中心站,BV11535657,113.459474,23.114209
文化中心,文化中心,文化中心,BV11688729,113.042627,23.061869
文化公园,文化公园#1,文化公园,BV11363917,113.24574,23.111297
文化公园,文化公园#2,文化公园,BV09391288,112.885127,23.161401
文化公园东,文化公园东,文化公园东,BV10251906,112.889405,23.160716
文化公园总站,文化公园总,文化公园总站,BV10016238,113.245448,23.109968
文园,文园,文园,BV09124283,113.466953,23.097774
文园,文园,文园,BV09060273,113.466026,23.098441
文岗,文岗,文岗,BV09404906,113.062169,23.259139
文德南,文德南,文德南,BV11688518,113.268969,23.118508
文德路,文德路,文德路,BV11688482,113.265936,23.127119
文德路,文德路,文德路2,BV09317748,113.265969,23.127289
文德路总站,文德路总,文德路总站,BV10016117,113.266905,23.124386
文教路口,文教路口,文教路口,BV11507042,113.130885,23.24996
文昌北路站,文昌北路,文昌北路站,BV09267393,113.2392,23.122954
文昌南路,文昌南路,文昌南路,BV10389129,113.239304,23.117664
文明路,文明路,文明路站,BV09376614,113.267449,23.125231
文明路,文明路,文明路2,BV09398681,113.267792,23.125341
文明路,文明路,文明路1,BV09215180,113.267474,23.125237
文登隧道,文登隧道,文登隧道站,BV11633556,113.167067,22.973093
文盛庄,文盛庄,文盛庄,BV10019452,113.301844,23.249608
文盛庄路,文盛庄路,文盛庄路,BV10014204,113.302716,23.247232
文礼路口,文礼路口,文礼路口,BV09327035,113.679778,23.277121
文翰第二小学,文翰第二小学,文翰第二小学,BV09308635,113.22059,23.038575
文船生活区东区,文船生活区东区,文船生活区东区,BV10021520,113.470999,23.097226
